"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
"Ascorbate and aldarate metabolism","Fatty acid biosynthesis","Fatty acid degradation","Primary bile acid biosynthesis","Ubiquinone and other terpenoid-quinone biosynthesis","Oxidative phosphorylation","Pyrimidine metabolism","Valine, leucine and isoleucine degradation","Taurine and hypotaurine metabolism","Starch and sucrose metabolism","Other glycan degradation","Glycosaminoglycan biosynthesis","Glycosaminoglycan biosynthesis","Glycerolipid metabolism","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Linoleic acid metabolism","alpha-Linolenic acid metabolism","Glycosphingolipid biosynthesis","Butanoate metabolism","One carbon pool by folate","Vitamin B6 metabolism","Nicotinate and nicotinamide metabolism","Biotin metabolism","Retinol metabolism","Terpenoid backbone biosynthesis","Sulfur metabolism","Aminoacyl-tRNA biosynthesis","Biosynthesis of unsaturated fatty acids","ABC transporters","Ribosome biogenesis in eukaryotes","RNA transport","mRNA surveillance pathway","RNA degradation","RNA polymerase","Basal transcription factors","DNA replication","Spliceosome","Base excision repair","Nucleotide excision repair","Homologous recombination","Non-homologous end-joining","Calcium signaling pathway","cAMP signaling pathway","HIF-1 signaling pathway","Sphingolipid signaling pathway","Phospholipase D signaling pathway","Cell cycle","p53 signaling pathway","Ubiquitin mediated proteolysis","Sulfur relay system","SNARE interactions in vesicular transport","Autophagy","Mitophagy","Lysosome","Endocytosis","Peroxisome","mTOR signaling pathway","AMPK signaling pathway","Cellular senescence","Vascular smooth muscle contraction","Wnt signaling pathway","Hedgehog signaling pathway","Hippo signaling pathway","Focal adhesion","ECM-receptor interaction","Cell adhesion molecules (CAMs)","Tight junction","Complement and coagulation cascades","IL-17 signaling pathway","B cell receptor signaling pathway","Fc epsilon RI signaling pathway","Synaptic vesicle cycle","Retrograde endocannabinoid signaling","Cholinergic synapse","Serotonergic synapse","Olfactory transduction","Inflammatory mediator regulation of TRP channels","Insulin secretion","Melanogenesis","Thyroid hormone signaling pathway","Aldosterone synthesis and secretion","Relaxin signaling pathway","Type II diabetes mellitus","Endocrine and other factor-regulated calcium reabsorption","Vasopressin-regulated water reabsorption","Gastric acid secretion","Protein digestion and absorption","Mineral absorption"
"UGT2B11","ACSL1","ACAA2","ACOT8","COQ7","NDUFC2-KCTD14","NT5C1B-RDH14","ACAA2","CDO1","TREH","NEU3","UST","CHST4","AKR1A1","PIGK","PLA2G4B","PLA2G4B","B3GALT5","ACSM1","ST20-MTHFS","PSAT1","NT5C1B-RDH14","HLCS","CYP3A7-CYP3AP1","ZMPSTE24","BPNT1","FARSB","ACOT2","ABCC5","RNA5S1","POM121C","BCL2L2-PABPN1","TOB1","DNA-directed RNA polymerase III subunit RPC5","CDK7","RNASEH2A","ISY1-RAB43","PARP2","BIVM-ERCC5","RAD50","RAD50","PPIF","AKT3","AKT3","AKT3","AKT3","CDK2","CDK2","UBA2","MOCS3","STX6","ATG7","OPTN","AP1M2","PDCD6IP","ACOT8","AKT3","AKT3","AKT3","PLA2G4B","FRAT1","LOC400927-CSNK1E readthrough","LOC400927-CSNK1E readthrough","AKT3","LAMC3","CDH2","CLDN24","PROCR","DEFB4B","AKT3","AKT3","TCIRG1","NDUFC2-KCTD14","AKT3","PLA2G4B","olfactory receptor 4N4","PLA2G4B","KCNMB2","CREB3","AKT3","CREB3","AKT3","SOCS4","ADCY6","CREB3","ADCY1","KCNE3","SLC34A2"
"UGT2A1","ACSL3","ECI2","CYP46A1","VKORC1L1","COX17","DNA-directed RNA polymerase III subunit RPC5","HIBADH","GGT6","AGL","NEU4","B4GALT7","B3GNT2","AGPAT1","PIGU","PLA2G16","PLA2G16","B3GNT3","ACSM2A","MTHFS","AOX1","NAMPT","OXSM","DHRS9","PMVK","ETHE1","WARS2","ACOT7","ABCB6","RNA5S2","SNUPN","ALYREF","MPHOSPH6","POLR3F","TAF6L","POLD3","PQBP1","PARP3","CDK7","POLD3","DNTT","IGH","HCN4","CDKN1A","SPTLC1","PLA2G4B","CDK4","CDK4","SAE1","CTU2","BET1","GABARAP","CALCOCO2","AP3S2","WASH1","ECI2","RRAGB","eukaryotic elongation factor 2 kinase","RAD50","CALCRL","LOC400927-CSNK1E readthrough","KIF3A","YAP1","PAK4","CHAD","CDH3","OCLN","MASP2","CEBPB","IGH","PLA2G4B","UNC13B","GNB5","CREB3","RAPGEF3",,"ADCY1","CREB3","ADCY1","MED16","ADCY1","INSL5","MTOR","ADCY9","DCTN2","ADCY2","CELA3A","SLC46A1"
"ALDH2","ACSL4","ADH1A","SLC27A5","NQO1","TCIRG1","NME6","DBT","GAD1","G6PC","AGA","CHST14","FUT8","AGPAT2","PIGN","PLA2G4E","PLA2G4E","ST3GAL6","C10orf129","MTHFD2","PHOSPHO2","NT5C3B","BTD","UGT2B11","NUS1","MPST","FARS2","ACOT4","ABCC9","RNA5S3","ALYREF","SRRM1","C1D","POLR3G","GTF2A1L","DNA2","ALYREF","POLD3","CETN2","TOPBP1","FEN1","ADCY1","ABCC4","CDKN1B","GNA13","LPAR6","CDK6","CDK6","HUWE1","MOCS2","VTI1B","GABARAPL2","CITED2","TCIRG1","RNF103-CHMP3","SLC25A17","LAMTOR5","CREB3","HIPK3","KCNMB2","APC2","CSNK1A1L","RASSF1","LAMC3","COL1A1","CLDN24","ACTR3","VSIG4","TRAF3IP2","VAV3","IGH","CPLX2","ADCY1","GNB5","GNB5","OR5I1","ADCY2","ADCY1","ADCY2","RCAN2","ADCY2","CREB3","GCK","AP2M1","DCTN6","CFTR","SLC7A9","SLC26A9"
"ALDH1B1","FASN","ADH1B","AKR1C4","GGCX","ATP5H","POLR3F","DLD","GAD2","GAA","MAN2B2","B3GALT6","B4GALT1","CEL","GPLD1","PLB1","PLB1","B3GNT2","ABAT","ALDH1L1","PNPO","NADK2",,"DHRS4","FDPS","CYCS","PSTK","PTPLB","ABCC4","RNA5S4","EIF1","SAP18","TOB2","POLR3C","TAF8","FEN1","SF3B4","PARP1","POLD3","EME1","XRCC6","ADCY2","MYL9","EGLN2","CERS1","IGH","CDK7","CDKN1A","STUB1","MPST","YKT6","ATG4A","GABARAP","NPC2","ARPC5","PMVK","NPRL2","CAMKK2","CDK2","RAMP2","WIF1","EVC2","FRMD6","MYL12B","COL1A2","CDH4","ACTR2","CLU","IL17F","MALT1","VAV3","CPLX1","ADCY2","ADCY1","cytochrome P450 2D6-like","ADCY3","ADCY3","ADCY2","ADCY3","NCOA2","ADCY3","GNB5","HK1","AP2S1","ADCY3","ADCY3","SLC16A10","CLCN2"
"ALDH9A1","ACSBG1","ADH1C","CYP7A1","COQ2","ATP5L","POLR3G","ABAT","GGT1","GANC","FUCA1","CHST13","CHST6","MGLL","PIGW","CYP1A2","PLA2G4F","FUT9","ECHS1","FTCD","PDXP","NT5C2",,"UGT2A1","FNTA","IMPAD1","MTFMT","ACAA1","ABCA7","RNA5S5","POP7","NXF1","BTG3","POLR3A","TAF1L","POLA2","U2AF1L5","PARP4","ERCC8","RAD54B","POLL","CYSLTR1","RAPGEF3","EGLN3","DEGS2","RAPGEF3","CDKN1A","CDKN2A","UBE4B","TST","VAMP5","ATG2A","GABARAPL2","AP4B1","ARPC4","DHRS4","RRAGA","CFTR","CDK4","RAMP1","FZD10","CSNK1A1","WTIP","MYL9","COL2A1","CDH5","CDK4","CPB2","CHUK","LILRB3","PLA2G4E","STX1B","ADCY3","ADCY2","ADCY5","OR52E2","ADCY5","ADCY3","ADCY5","PLCD3","ADCY5","ADCY1","HK2","CLTA","ADCY6","ADCY5","COL1A1","SLC31A1"
"ALDH3A2","ACSL6","CPT1C","CYP8B1","HPD","UQCR11","POLR3C","ECHS1","GGT7","GBE1","FUCA2","CHSY1","ST3GAL1","MOGAT1","PIGP","CYP2C19","PLA2G2D","FUT1","EHHADH","MTFMT","PDXK","NMNAT2",,"ADH1A","FNTB","SQRDL","TARSL2","HADHA","ABCA10","RNA5S6","SRRM1","HBS1L","PAPD7","POLR3H","ERCC2","RNASEH1","SMNDC1","FEN1","DDB1","BABAM1","POLM","ADCY3","VAV3","CREBBP","ACER1","AGPAT1","CDKN1B","GADD45G","ANAPC10","URM1","STX1B","ATG4B","FUNDC1","CTSC","ARPC3","SLC27A2","TBC1D7-LOC100130357 readthrough","RAB10","CDK6","RAMP3","CSNK1A1L","CSNK1D","CSNK1E","VAV3","COL4A1","OCLN","INADL","CR1","IL17RE","CHUK","MAPK14","AP2M1","ADCY5","ADCY3","TPH2","OR52J3","ADCY6","RAPGEF4","ADCY6","MED12L","ADCY6","ADCY2","HK3","CLTB","ADCY9","ADCY6","COL1A2","TRPM6"
"ALDH7A1","MCAT","ADH4","CYP27A1","COQ6","COX6B2","POLD3","EHHADH","GGT5","GCK","GBA","B3GAT3","ST3GAL2","PNLIPRP3","PIGT","CYP2C8","PLA2G4D","FUT2","GAD1","ALDH1L2",,"QPRT",,"ADH1B","ICMT","SUOX","EARS2","FADS1","ABCA9","RNA5S7","SAP18","CPSF4","LSM6","TWISTNB","ERCC3","RPA4","BCAS2","SMUG1","DDB2","RPA4","LIG4","CHRM1","CREB3","CYBB","SGPP2","AGPAT2","STAG1","CHEK1","PIAS3","CTU1","VTI1A","GABARAPL1","CSNK2A1","AP3M2","ARPC1B","PXMP4","FZD10","PPARGC1A","CDKN1A","MRVI1","CREBBP","CSNK1E","RASSF6","MYL12A","COL4A2","CDH15","TUBA1B","CR2","MAPK14","PIK3AP1","CSF2","AP2S1","ADCY6","CHAT","PLA2G4E","OR51L1","ADCY7","ADCY5","FZD10","SLC16A10","ADCY7","ADCY3","IKBKB","CLTC","CREB1","ADCY7","COL2A1","SLC26A3"
"UGT2B28","ACACA","ADH5","AMACR","COQ3","NDUFA11","POLR3A","ACSF3","GADL1","AMY1A","GLB1","DSE","ST3GAL3","MBOAT2","PIGA","CYP2C9","ACAA1","FUT3","GAD2","DHFR",,"NNT",,"ADH1C","PDSS1","TST","AARS","PTPLAD2","ABCA8","RNA5S8","EIF1B","PAPOLA","EXOSC8","POLR2J2","TAF5L","LIG1","SF3A1","NEIL2","ERCC1","MRE11A","MRE11A","CHRM2","ADCY1","EDN1","ADORA1","GNA13","CDKN1C","CHEK2","UBE2E3","NFS1","STX2","MTOR","CSNK2A2","AP4S1","ARPC2","CRAT","CHUK","CPT1C","CDKN2A","MYL9","PRICKLE1","CSNK1G2","WWC1","BUB1B-PAK6","COL4A3","ICOS ligand","MYL12B","CD55","CSF2","CR2","AKT1","CLTA","ADCY7","ADCY5","CYP2C19","OR51A7","ADCY8","ADCY6","ADCY7","CREBBP","ADCY8","ADCY5","INS","AP2A1","DYNLL2","CHRM3","COL3A1","ATP1B4"
"UGT1A10","ACACB","ADH6","HSD17B4","TAT","ATP6V1G3","NT5C3B","ALDH2","CSAD","AMY1B","HEXDC","CHSY3","CHST1","GLYCTK","PIGC","CYP2E1","PLA2G2E","FUT4","HADHA","DHFRL1",,"NMRK2",,"ADH4","HMGCR","PAPSS2","DARS","ACOX1","multidrug resistance-associated protein 6","RNA5S9","PRMT5","RNPS1","DIS3L","POLR1A","GTF2A1","MCM2","PPIE","APEX2","ERCC2","NBN","PRKDC","ADCY7","ADCY2","EGF","ADORA3","ADCY1","CDKN2A","SESN3","WWP1",,"STX19","WIPI2","CSNK2B","AP1S1","RNF41","DAO","ATP6V1G3","CPT1A","CDKN2B","GNA13","CSNK1A1","CSNK1G3","WWTR1","CHAD","COL4A4","leukosialin","MYL9","CFD","CSF3","AKT1","AKT2","CLTB","MGLL","ADCY6","CYP2C8","OR51S1","ADCY9","ADCY7","ADCY8","CTNNB1","ADCY9","ADCY6","INSR","AP2A2","CREB3L4","ADCY8","COL4A1","FTH1"
"UGT1A8","ACSL5","ADH7","CYP39A1","VKORC1","COX4I1","CANT1","ALDH1B1","BAAT","AMY1C","HEXA","CHST11","B4GALT4","AGPAT6","PIGF","CYP2J2","PLA2G2C","FUT5","HADH","MTHFD1L",,"NT5C",,"ADH5","HMGCS1","PAPSS1","EPRS","HSD17B12","CFTR","RNA5S10","TACC3","CLP1","EXOSC6","ZNRD1","GTF2A2","MCM3","PPIH","POLL","ERCC3","ATM","DCLRE1C","PLCD3","CFTR","EGFR","MAPK14","ADCY2","CDKN2B","DDB2","WWP2",,"BET1L","ATG9B","E2F1","AP3S1","STAM2","AGXT","SLC38A9","CPT1B","TRAF3IP2","ADCY1","CSNK1E","ADRBK1","LATS2","COL1A1","COL4A5","CD226","MYL12A","A2M","DEFB4A","AKT2","FCER1A","CLTC","ADCY8","CHRM1","CYP2C9","OR51F2","PLA2G4E","CHRM3","ADCY9","DIO1","CREB1","ADCY7","PDX1","AP2B1","DCTN1","ADCY9","COL4A2","FTL"
"UGT1A7","OXSM","CPT1A","BAAT","COQ5","COX5B","CMPK2","ALDH9A1","ADO","AMY2A","HEXB","CHST15","B4GALT3","DGKK","PIGH","CYP3A4","PLA2G3","FUT6","HMGCL","GART",,"AOX1",,"ADH6","HMGCS2",,"FARSA","PTPLAD1","ABCB8","RNA5S11","NXF1","NUDT21","NUDT16","POLR1D","GTF2B","MCM4","CHERP","HMGB1","ERCC4","SYCP3","XRCC4","CHRM3","ADCY3","EIF4E","CTSD","ADCY3","CDKN2C","GADD45A","UBE2C",,"STX18","PIK3R4","PGAM5","TPP1","ARPC1A","ECH1","DVL1","CREB1","GADD45G","ADCY2","CSNK2A1","ADRBK2","NF2","COL1A2","COL4A6","CLDN16","CLDN16","F2","ELAVL1","FCGR2B","MS4A2","ATP6V1G3","ADCY9","CHRM2","CYP2C18","OR52R1","MAPK14","ADCY8","CREB1","DIO2","ATF2","ADCY8","IRS1","DNM1","DYNC1H1","SLC26A7","COL4A3","STEAP2"
"UGT1A6","OLAH","CPT1B","SCP2",,"COX6A1","UPRT","ALDH3A2",,"AMY2B","MAN2C1","CHPF2","B4GALT2","GPAT2","PIGG","ALOX15","ACOX1","FUT7","HMGCS1","AMT",,"NMNAT3",,"ADH7","IDI1",,"LARS2","ELOVL2","ABCC2","RNA5S12","RPP30","CPSF6","PABPC4L","POLR3K","GTF2E1","MCM5","SLU7","APEX1","ERCC5","UIMC1","XRCC5","CHRM5","RAPGEF4","EIF4EBP1","SGMS2","RAPGEF4","CDKN2D","RCHY1","BIRC8",,"STX17","IGBP1","RRAS2","CLN3","ARFGEF2","EHHADH","DVL2","ADRA1A","CHEK1","ADCY3","CSNK2A2","EVC","PAK1","COL2A1","COL6A1","CNTN1","CFTR","F2R","MAPK15","FOS","FCER1G","SLC32A1","NDUFA11","ADCY7","CYP2D6","OR4C46","CYP2J2","ADCY9","CREBBP","DIO3","ATF6B","ADCY9","KCNJ11","DNM2","DYNC1I1","CALML6","COL4A4","STEAP1"
"UGT1A5","ACSBG2","CPT2","AKR1D1",,"COX6A2","CTPS1","IL4I1",,"GPI","MAN2B1","CSGALNACT2","B3GNT7","MBOAT1","PIGX","PLA2G4F","PLA2G1B","GCNT2","HMGCS2","MTHFD2L",,"NNMT",,"RDH12","ACAT1",,"HARS2","PECR","ABCA13","RNA5S13","RPP38","MSI2","PABPC5","POLR2A","GTF2E2","MCM6","PRPF8","LIG1","ERCC6","POLD1","NHEJ1","CHRNA7","ADCY5","ENO1","S1PR1","ADCY5","ANAPC10","BBC3","ERCC8",,"USE1","BECN2","MRAS","CLN5","ARFGEF1","PAOX","DVL3","CREB3L4","CHEK2","ADCY5","CSNK2B","FBXW11","DCHS2","COL4A1","COL6A2","CLDN4","BVES","F2RL2","TAB2","RASGRP3","ALOX5","ATP6V0E2","CNR1","CHRM3","CYP2J2","OR4X2","TRPV3","ADCYAP1","CREB3L4","RCAN1","CREB3L4","RLN3","MAFA","ESR1","DYNC1I2","ADCY4","COL4A5","SLC40A1"
"UGT1A9",,"CYP4A11","HSD3B7",,"COX6B1","UPP2","HIBCH",,"PGM2L1","MANBA","CHST12","CHST2","DGKA","PIGV","PLA2G2D","PLA2G2A","B4GALT1","ACSM4","MTHFD1",,"PNP",,"CYP1A1","ACAT2",,"PARS2","BAAT","ABCA1","RNA5S14","PAIP1","PABPC4L","PNLDC1","POLR2B","GTF2F1","MCM7","USP39","LIG3","GTF2H1","POLD2",,"ADCY8","ADCY6","ENO2","S1PR3","ADCY6","MAD2L2","SESN1","UBE2J2",,"BNIP1","PIK3C3","FOXO3","CLTA","STAMBP","EPHX2","EIF4B","EEF2","LIN54","ADCY6","NOTUM","GPR161","MOB1A","COL4A2","COL6A3","CLDN3","TUBA3E","F3","FOS","DAPP1","ALOX5AP","AP2A1","SLC32A1","CHRM4","DDC","OR4B1","CALML6","ADCYAP1R1","CTNNB1","EP300","CYP11A1","RXFP2","PIK3CA","PLCB1","DYNC1LI2","PLCB1","COL4A6","HMOX1"
"UGT1A4",,"ECI1","ACOX2",,"COX6C","DCK","ACAD8",,"GYG1","NEU1","CSGALNACT1",,"DGKB","PGAP1","PLA2G4D","PLA2G4A","ABO","ACSM2B","MTHFR",,"NT5E",,"CYP1A2","MVD",,"GARS","ELOVL5","ABCA2","RNA5S15","NUP50","PABPC5","DDX6","POLR2C","GTF2F2","PCNA","SRSF10","MPG","GTF2H2","POLD4",,"ADCY9","CHRM1","ENO3","CERS3","ADCY7","STAG2","SFN","UBE2QL1",,"STX1A","ATG16L1","GABARAPL1","CLTB","RAB10","ABCD1","EIF4E","EIF4EBP1","MAPK14","ADCY7","CTBP1","GAS1","SAV1","COL4A3","COL9A1","CLDN7","TUBA3D","F5","FOSB","GRB2","FYN","AP2A2","MAPK14","CHRM5","HTR3C","OR52M1","ADCY4","CREB1","CALML6","AKT1","CYP11B2","COL1A1","PIK3CB","ATP1B4","GNAS","ATP1B4","COL5A1","HMOX2"
"UGT1A1",,"ECHS1","CH25H",,"COX7A1","DCTD","ACAA1",,"GYS1","NEU2","CHST7",,"DGKG","PIGZ","PLA2G2E","PLA2G5","A4GALT","ACADS","MTR",,"NT5C3A",,"CYP2A6","MVK",,"GATC","SCD","ABCA3","RNA5S16","POP4","CSTF1","DCP2","POLR2D","GTF2H1","POLE3","TXNL4A","MUTYH","GTF2H3","BARD1",,"ADORA2A","CHRM2","EP300","AKT1","ADCY8","PTTG2","APAF1","UBE2F",,"STX3","WIPI1","BCL2L13","CLTC","EHD1","ACSL1","EIF4EBP1","ELAVL1","RAD9B","ADCY8","CTBP2","GLI1","STK3","COL4A4","COL9A2","CLDN23","SYNPO","F7","IL17RA","GSK3B","PLA2G4F","AP2B1","ADCY4","CHRNA3","DUSP1","OR52K2","F2RL1","ATF2","DCT","AKT2","CYP21A2","COL1A2","PIK3CD","DNM3","AQP2","GAST","COL5A2","SLC6A19"
