"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
"UGT1A3",,"EHHADH","CYP7B1",,"COX7A2","POLR3H","HSD17B10",,"GYS2","GBA2","XYLT1",,"DGKH","PIGO","PLA2G2C","PLA2G2F","ST3GAL4","ACAT1","ATIC",,"ENPP1",,"CYP3A7","PCYOX1",,"HARS","ACOT1","ABCD1","RNA5S17","RPP40","CSTF2","DHX36","POLR2E","GTF2H2","POLA1","TCERG1","NTHL1","GTF2H4","RAD51",,"ADORA2B","ADCY7","EPO","AKT2","ADCY9","GADD45G","IGF1","UBE2U",,"STX4","ATG2B","CSNK2A3","AP1S3","RAB35","ACSL3","FLCN","CRTC2","HIPK4","ADCY9","CTNNB1","GLI2","TEAD1","COL4A5","COL9A3","VCAN","WHAMM","F8","TAB3","BLNK","LAT","DNM1","GABRR3","CHRNA4","HTR3D","OR5P2","PLCB1","ATF6B","DVL1","ESR1","CALML6","COL3A1","PIK3R1","GNAQ","AQP3","GNAI1","COL6A1","MT1A"
"MIOX",,"ALDH2",,,"COX7B","DHODH","HADHA",,"HK1","ENGASE","XYLT2",,"DGKQ","PIGY","PLA2G3","PLA2G12A","ST3GAL3","ACAT2","SHMT1",,"ENPP3",,"CYP2B6","PDSS2",,"IARS","ELOVL6","ABCB7","putative exonuclease GOR","RNPS1","CSTF3","DCP1B","POLR2F","GTF2H3","POLD1","SRSF8","OGG1","RPA4","RAD51C",,"ADRA1D","ADCY8","ERBB2","FCER1A","PLA2G4E","DBF4","IGFBP3","DDB1",,"STX5","PPP2CA","ATG9B","HGSNAT","RAB31","ACSL4","AKT1","AKT1","CALML6","PLA2G4E","PRICKLE2","GLI3","TEAD4","COL4A6","COMP","CTLA4","CLDN4","F9","IL17C","HRAS","PLA2G4D","DNM2","FAAH","CHRNA7","PLCB1","OR5P3","ALOX12","GPR119","DVL2","FOXO1","AGTR1","COL4A1","PIK3R2","GNAS","AQP4","GNAI2","COL6A2","MT1B"
"UGT2A2",,"ACSL1",,,"COX7C","DPYD","HADHB",,"HK2",,"CHPF",,"PPAPDC1A","GPAA1","PLA2G1B","ACOX3","ST8SIA1","OXCT1","SHMT2",,"NMRK1",,"CYP2C8","DHDDS",,"KARS","SCD5","ABCD2","RCL1","POP1","ETF1","ENO1","POLR2G","GTF2H4","POLD2","SF3A3","PCNA","LIG1","RAD51B",,"ADRA1B","ADCY9","AKT1","MS4A2","DGKK","YWHAQ","FAS","DDB2",,"VAMP1","PPP2CB","TBK1","CTNS","WWP1","ABCD2","AKT2","AKT2","GADD45A","ADORA2A","DVL1","GSK3B","TEAD3","COL6A1","COL6A6","CLDN19","CLDN3","F10","IL17B","IKBKB","GRB2","STX2","DAGLB","ADCY8","ALOX12","OR8I2","PLA2G4F","CREB3L4","DVL3","PLCB1","ADCY4","COL4A2","PKLR","KLK1","ARHGDIA","GNAI3","COL6A3","MT1E"
"UGDH",,"ACSL3",,,"COX8A","DPYS","HADH",,"HK3",,"CHST3",,"ALDH2","DPM2","PLA2G2A","PLA2G6","B3GNT4","HMGCLL1","TYMS",,"NADSYN1",,"CYP2C9","IDI2",,"MARS","ACOX3","ABCB10",,"NUPL2","CASC3","ENO2","POLR2H","GTF2I","POLE","SF3B2","POLE3","GTF2H5","RAD51D",,"ADRA1A","GRIN3A","AKT2","FCER1G","PIK3R6","CHEK1","CD82","UBOX5",,"VAMP2","RPTOR","HIF1A","CTSB","SNF8","ACSL6","RNF152","FASN","E2F1","ADORA2B","DVL2","SPOPL","FAT4","COL6A2","DAG1","TIGIT","CLDN7","F11","TBK1","INPP5D","HRAS","RIMS1","NAPEPLD","CHRNB2","ALOX5","OR2D3","GNAQ","KCNU1","EDN1","MED13L","DAGLB","COL4A3","PKM","KLK2","ARHGDIB","GNAQ","COL7A1","MT1F"
"UGT2B4",,"ACSL4",,,"COX10","DTYMK","HMGCL",,"ENPP1",,,,"ALDH1B1","PIGQ","PLA2G4A","PLA2G10","B3GNT5","ACSM5",,,"NT5M",,"CYP2C18","GGPS1",,"TRNC","PTPLA","ABCB9",,"RPP14","NCBP2","ENO3","POLR2I","TBPL2","POLE2","SNRNP27","POLB","MNAT1","RAD52",,"ADRB1","GRIN3B","ALDOA","PLCB1","DGKA","CHEK2","MDM2","TRIM32",,"VAMP7","ATG101","HRAS","CTSD","VPS26B","MLYCD","LPIN1","FBP1","E2F2","MYL6B","DVL3","IHH","FRMD1","COL6A3","LAMB4","ALCAM","CLDN23","F12","CXCL1","INPPL1","IL3","UNC13A","RIMS1","CHRNB4","ALOX12B","OR2D2","GNAS","ADCY4","EDNRB","ATP1B4","PLCB1","COL4A4","PRKCD","ATP1A1","ARHGDIG","GNAS","COL9A1","MT1G"
"UGT2B7",,"ALDH1B1",,,"COX11","DUT","HMGCS1",,"ENPP3",,,,"ALDH9A1","PIGM","PLA2G5","PLA2G12B","B4GALT4","BDH2",,,"NMNAT1",,"RDH10","RCE1",,"TRNA","FADS2","ABCA6",,"STRAP","ACIN1","PATL1","POLR2J","GTF2H5","PRIM1","LSM6","POLD1","PCNA","RBBP8",,"ADRB2","ADCYAP1R1","FLT1","FYN","DGKB","CREBBP","MDM4","RHOBTB2",,"STX7","MLST8","RAB7B","CTSE","VPS45","AMACR","ATP6V1C2","FOXO1","E2F3","ADRA1D","EP300","KIF7","RASSF4","COL9A1","ITGA11","NLGN4Y","MYL6B","F13A1","CXCL2","JUN","IL4","ATP6V0A2","PLCB1","ADCY9","ALOX15","OR52W1","PLA2G4D","PLCB1","ADCY4","MTOR","PRKD3","COL4A5","PRKCE","ATP1A2","NSF","HRH2","COL9A2","MT1H"
"UGT2B10",,"ALDH9A1",,,"COX15","TYMP","HMGCS2",,"PGM1",,,,"ALDH3A2","PIGS","PLA2G2F","PLA2G4C","B4GALT3","BDH1",,,"NADK",,"CYP3A4",,,"TRND","TECR","ABCA5","MPHOSPH10","DDX20","SMG1","XRN2","POLR2K","MNAT1","PRIM2","DDX42","POLD2","POLE3","RPA1",,"ADRB3","CNGB1","MTOR","CERS6","DGKG","GADD45A","GADD45B","FBXW11",,"VAMP8","ATG3","JUN","CTSG","ACAP3","MPV17L","MTOR","FOXO3","E2F4","ADRA1B","GPC4","LRP2","TEAD2","COL9A2","SV2C","NTNG1","CLDN19","F13B","CXCL3","KRAS","IL5","ATP6V0D2","SLC17A8","CREB1","ALOX15B","OR56A4","HRH1","ATP1B4","EP300","SIN3A","PRKD2","COL4A6","PRKCZ","ATP1A3","DYNC1LI1","MYLK4","COL9A3","MT1M"
"UGT2B15",,"ALDH3A2",,,"CYC1","AK9","AOX1",,"PGM2",,,,"AKR1B1","PIGL","PLA2G12A","JMJD7-PLA2G4B","B4GALT2","ACSM3",,,"BST1",,"CYP3A5",,,"TRNE",,"ABCA4","AK6","XPOT","CSTF2T","DIS3","POLR2L","TAF9B","POLE4","U2AF2","POLE","POLD1","RPA2",,"CALML6","CNGA1","EIF4E1B","SGMS1","DGKH","E2F1","ATM","MGRN1",,"VAMP4","ATG9A","KRAS","CTSH","ARAP2","PRDX5","RICTOR","TBC1D1","E2F5","ADRA1A","DKK1","ARRB1","AJUBA","COL9A3","FN1","NLGN1","IGSF5","FGA","GSK3B","LYN","IL13","ATP6V1C2","GABRA1","PIK3R6","PLA2G4F","OR56A1","HTR2A","GCG","PLCB1","GATA4","GNA11","CREB1","MAPK1","ATP1A4","DCTN4","ITPR1","COL10A1","MT1X"
"UGT2B17",,"ACSBG1",,,"ATP6V0E2","TWISTNB","ACADM",,"GBA3",,,,"LPIN1","PIGB","PLA2G6","FADS2","B3GALNT1","OXCT2",,,"NUDT12",,"CYP4A11",,,"TRNF",,"ABCA12","POP7","CLNS1A","SMG6","EXOSC7","POLR2J3","TAF7L","POLD4","RBMXL3","POLE2","POLD2","RPA3",,"DRD1","CNGA2","GAPDH","GNA12","DGKQ","E2F2","RRM2B","NEDD4L",,"STX16","ATG10","NBR1","CTSK","ARAP1","HACL1","EIF4E1B","SIRT1","EIF4EBP1","KCNU1","DAAM1","ARRB2","DCHS1","COMP","COL6A5","NFASC","MARVELD2","FGB","USP25","NFATC1","INPP5D","SLC17A8","GABRA2","CREB3L4","GABRB1","OR2AP1","HTR2B","GCK","FZD2","KAT2A","GNAQ","ATF2","MAPK3","ATP1B1","DYNC2LI1","ITPR2","COL11A1","MT2A"
"UGT2A3",,"ACSL6",,,"COX7B2","NT5C2","ACADS",,"G6PC2",,,,"LCLAT1",,"PLA2G10",,"B3GALT2","AACS",,,"NT5C1A",,"AWAT2",,,"TRNG",,"ABCB5","EMG1","NUP35","SMG5","CNOT1","POLR3B","TAF1","RFC1","HNRNPA1L2","NEIL3","POLE","BLM",,"DRD5","CNGA3","ANGPT1","GNAI1","DNM1","E2F3","SERPINE1","CBLC",,"STX11","ATG4C","MITF","CTSL","AGAP2","DECR2","FZD2","MLYCD","HIPK1","CYP4A11","PLCB1","DHH","LIMD1","COL6A6","GP1BA","ICOSLG","AMOT","FGG","HSP90AA1","NFATC2","KRAS","DNM3","GABRA3","ADCY4","GABRB2","OR10P1","HTR2C","GIP","GNAI1","MED4","GNAS","ATF6B","MAPK8","ATP1B2","AVP","ITPR3","COL11A2","ATOX1"
"RGN",,"GCDH",,,"ATP6V0A2","POLA2","ACADSB",,"PYGB",,,,"DAK",,"PLA2G12B",,"B3GALT1","ALDH5A1",,,"NT5C1B",,"CYP26A1",,,"TRNH",,"ABCC6","NXF1","PABPC4L","GSPT2","EXOSC2","POLR3E","TAF2","RFC2","CCDC12","POLE4","POLE2","BRCA1",,"AGTR1","CNGA4","ANGPT2","GNAI2","DNM2","E2F4","SHISA5","PPIL2",,"STX10","ATG4D","BECN2","CTSV","AGAP1","NUDT7","RPS6KA6","MTOR","AKT1","CALML6","FBXW11","CDON","LATS1","CRK","GP1BB","CLDN14","AMOTL1","SERPIND1","HSP90AB1","NFATC3","LCP2","CPLX4","GABRA4","AKT1","GABRB3","OR10AD1","IGF1","KCNMB3","GNAI2","GSK3B","NR4A1","MAPK14","MAPK9","ATP1B3","AVPR2","KCNJ1","COL12A1","ATP1A1"
,,"CYP4A22",,,"ATP6V0D2","POLR2J2","IVD",,"PYGL",,,,"GK",,"PLA2G4C",,,"L2HGDH",,,"NAPRT1",,"SDR16C5",,,"TRNI",,"ABCC1","NOP56","RPP25L","UPF2","SKIV2L2","POLR1E","TAF4","RFC3","ZMAT2","POLD4","POLE4","SSBP1",,"EDNRA","ADORA1","MKNK2","GNAI3","AGTR1","E2F5","GTSE1","CDC26",,"SNAP23","BECN1","ATF4","CTSO","AGAP3","ACAA1","GRB2","G6PC","AKT2","AGTR1","FRAT2","SUFU","MOB1B","CRKL","GP5","CADM1","DLG1","CFH","IFNG","NFKB1","LYN","UNC13C","GABRA5","AKT2","CYP4X1","OR10A7","IL1B","KCNMB4","GNAI3","HDAC1","HSD3B1","CREB3L4","MAPK10","FXYD2","PRKACA","KCNJ2","COL13A1","ATP1A2"
,,"ACAA1",,,"ATP6V1C2","POLR1A","ACAT1",,"PYGM",,,,"GK2",,"JMJD7-PLA2G4B",,,,,,"CD38",,"ALDH1A1",,,"TRNK",,"ABCB1","RPP30","PABPC5","DAZAP1","EDC4","POLR3D","TAF4B","RFC4","DDX5","TDG","POLD4","BRCA2",,"EDNRB","ADORA2A","HIF1A","GNAQ","LPAR1","EP300","SERPINB5","ANAPC13",,"VAMP3","ATG12","NRAS","CTSS","AP2M1","HMGCL","GRB10","PPP2R3B","ETS1","EDNRA","DAAM2","CSNK1G1","RASSF2","CTNNB1","GP9","CLDN15","DLG2","CFI","IKBKB","NFKBIA","NRAS","NSF","GABRA6","PLCB1","GNAI1","OR4K14","IL1R1","GLP1R","GNAO1","HDAC2","HSD3B2","EDN1","SLC2A2","ATP2B1","PRKACB","KCNJ10","COL15A1","ATP1A3"
,,"HADHA",,,"PPA2","NME7","ACAT2",,"SI",,,,"GLA",,,,,,,,,,"CYP2S1",,,"TRNL1",,"ABCB4","RPP38","EEF1A1","PABPC1","LSM5","POLR1B","TAF5","RFC5","DHX8","UNG","RAD23A","TOP3A",,"EGFR","CREB1","HK1","PPP2R3B","EGF","ORC6","PMAIP1","RCHY1",,"SNAP29","ATG5","PARK2","CTSW","AP2S1","HSD17B4","LAMTOR2","EEF2K","RRAS2","ADCY4","FZD2","PRKACA",,"DIAPH1","LAMA1","NEGR1","DLG3","ITGAM","IL1B","NFKBIB","PDPK1","ATP6V0A4","GABRB1","FOS","GNAI2","OR4L1","IL1RAP","PCLO","GNAQ","HIF1A","ITPR1","EDNRB","SLC2A4","PLCB2","PRKACG","KCNJ15","COL17A1","ATP1A4"
,,"HADHB",,,"UQCRQ","NT5C","ALDH6A1",,"UGP2",,,,"MOGAT3",,,,,,,,,,"AOX1",,,"TRNL2",,"ABCD3","TBL3","EEF1A2","PPP2R3B","CNOT6L","POLR3GL","TAF6","RPA1","DHX15","XRCC1","RAD23B","XRCC2",,"ADCY4","CREBBP","HK2","CERS2","EGFR","ORC3","CYCS","HERC4",,"STX8","ULK2","FIS1","CTSZ","ZFYVE27","IDH1","GSK3B","GYS1","MRAS","PLCB1","BAMBI","PRKACB",,"DOCK1","HMMR","PVRL3","CTTN","ITGAX","IL4","NFKBIE","PIK3CA","ATP6V1D","GABRB2","PIK3R5","GNAI3","OR11H6","ITPR1","GNA11","GNAS","HRAS","ITPR2","EGFR","ABCC8","PLCB3","RAB5A","KCNJ16","COL6A6","ATP1B1"
,,"HADH",,,"UQCR10","ZNRD1","MUT",,"HKDC1",,,,"LIPC",,,,,,,,,,"DHRS4L2",,,"TRNM",,"ABCD4","POP4","EIF1AX","SSU72","PAN3","POLR1C","TAF7","RPA2","U2AF1L4","NEIL1","RFC1","XRCC3",,"ERBB2","GPR119","HK3","HRAS","ADCY4","CDC26","ATR","FBXO2",,"GOSR1","ATG13","TOMM7","AP1B1","CLTA","IDH2","HRAS","GYS2","FOXM1","ARHGEF12","CACYBP","PRKACG",,"EGF","HSPG2","CNTNAP2","ERBB2","ITGB2","IL5","NRAS","PIK3CB","ATP6V1H","GABRB3","FYN","GNAO1","SLC24A4","ITPR2","GNAQ","GSK3B","ITGAV","ITPR3","ADCY4","TNF","PLCB4","RAB5B","KCNK2","CPA1","ATP1B2"
,,"ACADL",,,"COX8C","NUDT2","ALDH7A1",,"GYG2",,,,"LPL",,,,,,,,,,"CYP26C1",,,"TRNN",,"ABCG4","RPP40","EIF2S1","NXT1","LSM4",,"TAF9","RPA3","HNRNPA3","MBD4","RFC2","BRCC3",,"ERBB3","CREB3L4","HMOX1","ACER2","AKT1","ABL1","STEAP3","FBXW8",,"SEC22B",,"RHOT1","AP1G1","CLTB","GSTK1","IGF1","ACACA","FOXO1","PLA2G4F","DKK4","SMURF1",,"EGFR","TNC","CLDN17","MYH15","KLKB1","IL6","PIK3CA","PIK3CD","ATP6V1A","GABRD","GNA11","GNAQ","OR4D2","ITPR3","GNAS","HRAS","ITGB3","KCNK3","AKT1","CACNA1A","PRKACA","RAB5C","KCNQ1","CPA2","ATP1B3"
,,"ACADM",,,"NDUFS7","ENTPD8","OXCT1",,"MGAM",,,,"ALDH7A1",,,,,,,,,,"RDH8",,,"TRNP",,"ABCG5","UTP14A","EIF2B1","GSPT1","CNOT10",,"TAF10","SSBP1","PUF60",,"RFC3","PALB2",,"ERBB4","ADRB1","IFNG","KRAS","AKT2","ANAPC13","PIDD1","FBXO4",,"GOSR2",,"AMBRA1","AGA","CLTC","NUDT19","IGF1R","HMGCR","FOXO3","PLA2G2D","DKK2","PTCH1",,"ELK1","IBSP","GLG1","NEDD4L","KNG1","CXCL8","PIK3CB","PIK3R1","ATP6V1B1","GABRE","GNAI1","GNAS","CNGB1","ASIC2","FFAR1","KIT","KRAS","LDLR","AKT2","CACNA1B","PRKACB","CREB3L2","SLC9A4","CPA3","FXYD2"
,,"ACADS",,,"UQCRHL","NME1","PCCA",,"G6PC3",,,,"PNLIP",,,,,,,,,,"RDH11",,,"TRNQ",,"ABCG8","WDR3","EIF2S3","CPSF1","PABPC1",,"TAF11","RNASEH2B","NCBP2",,"RFC4","SHFM1",,"F2R","ADRB2","IFNGR1","RHOA","F2R","SMC1B","RPRM","UBE2S",,,,"MFN1","DNASE2","CCR5","MPV17","IKBKB","HNF4A","FBXW11","KCNMB3","INVS","CCND1",,"ERBB2","ITGA6","CD274","ARHGEF18","MBL2","IL13","PIK3CD","PIK3R2","ATP6V1B2","GABRG1","GNAI2","GNB1","OR7D4","ASIC1","INS","KRAS","MDM2","LIPE","FIGF","CACNA1C","PRKACG","STX4","MYLK","CPB1","SLC11A2"
,,"ACADSB",,,"ATP6","NME2","PCCB",,"LOC93432",,,,"PNLIPRP1",,,,,,,,,,"BCMO1",,,"TRNR",,"ABCC8","POP1","EIF4A1","PABPC1L2A","LSM1",,"TAF12","RNASEH2C","SNW1",,"RFC5","MUS81",,"PTK2B","CALML6","IFNGR2","MAP3K5","PTK2B","SFN","PTEN","PRPF19",,,,"MAPK8","ABCA2","CHMP4B","MVK","INS","ACACB","SIRT1","KCNMB4","CSNK2A3","BCL2",,"AKT1","ITGA1","ICOS","SCRIB","CD46","IL17A","PIK3R1","PLA2G4A","ATP6V0C","GABRG2","GNAI3","GNB2","OR7G1","NGF","PDX1","MC1R","MYC","MC2R","PLCB1","CACNA1D","PRKCA","VAMP2","ATP1A1","CPB2","ATP2B1"
,,"ACADVL",,,"ATP8","NME3","HMGCLL1",,,,,,"PNLIPRP2",,,,,,,,,,"UGT2B28",,,"TRNS1",,"TAP1","WDR36","EIF4A2","PABPN1L","LSM3",,"TAF13",,"ACIN1",,"RPA1","BRIP1",,"P2RX2","DRD1","IGF1","ASAH1","FCER1A","GSK3B","BAI1","ANAPC2",,,,"MAPK9","ARSG","GRK7","NOS2","INSR","IGF1","MTOR","GNA11","GSK3B","HHIP",,"AKT2","ITGA2","HLA-A","CLDN14","SERPINC1","CXCL10","PIK3R2","PLCG1","ATP6V1C1","GABRG3","GNAO1","GNB3","OR1M1","NTRK1","ITPR3","KITLG","MYH6","ATF1","FOS","CACNA1E","PRKCB","DYNC2H1","ATP1A2","CTRB1","ATP7A"
,,"ACAT1",,,"COX1","NME4","AUH",,,,,,"AGPAT5",,,,,,,,,,"UGT1A10",,,"TRNS2",,"TAP2","RPP25L","EIF4B","MAGOH","DCPS",,"TBP",,"SNRNP200",,"RPA2","FAM175A",,"PLCB1","DRD2","IGF1R","ABCC1","MS4A2","ANAPC2","BAX","ANAPC4",,,,"MAPK10","GGA2","VPS37A","PRDX1","IRS1","IGF1R","GATA4","GNA12","APC","SHH",,"FIGF","ITGA2B","HLA-B","CLDN15","SERPINE1","JUN","PLCG2","PLCG2","ATP6V1E1","GABRP","GNAQ","GNG3","CNGA2","P2RY2","KCNJ11","MITF","ATP1A1","ATF4","SHC2","HKDC1","PRKCG","DCTN5","ATP1A3","CTRL","TRPM7"
,,"ACAT2",,,"COX2","PNP","MCCC1",,,,,,"AGK",,,,,,,,,,"UGT1A8",,,"TRNT",,"ABCC11","CSNK2A1","EIF4E","MSI1","CNOT7",,"GTF2H2C",,"U2SURP",,"RPA3","RAD54L",,"GNA11","DRD5","IL6","NFKB1","FCER1G","ANAPC4","CCND1","UBE2K",,,,"RELA","GGA3","PIP5KL1","ACOX1","KRAS","INS","LIN9","GNAQ","JUN","SMURF2",,"LAMB4","ITGA3","HLA-C","GATA4","SERPINB2","JUND","PPP3CA","PRKCA","ATP6V0B","GABRR1","GNB1","GNG4","CNGA3","TRPV2","KCNMA1","ASIP","ATP1A2","NPR1","GNA15","IRS4","TRPV5","CREB3L3","ATP1A4","COL22A1","TRPV6"
,,"ALDH7A1",,,"COX3","NT5E","BCAT1",,,,,,"AGPAT3",,,,,,,,,,"UGT1A7",,,"TRNV",,"ABCB11","CSNK2A2","EIF4EBP1","NCBP1","HSPA9",,"GTF2H2C_2",,"SF3B3",,"GTF2H2C","TOP3B",,"GNA15","EDNRA","IL6R","NOS3","RRAS2","HDAC1","RRM2","AIRE",,,,"BCL2L1","AP4E1","WIPF2","HAO2","RHOA","INSR","HIPK2","GNAS","RHOA","SMO",,"ITGA11","ITGA4","HLA-DMA","CLDN17","SERPINA5","LCN2","PPP3CB","MAPK1","ATP6V1G2","GABRR2","GNB2","GNG5","CNGA4","ASIC5","KCNMB1","NRAS","ATP1A3","NR4A2","GNAI1","PIK3R3","PTH1R","DYNLL1","ATP1B1","DPP4","SLC39A4"
,,"ACOX1",,,"CYTB","RRM2B","BCAT2",,,,,,"AGPAT4",,,,,,,,,,"UGT1A6",,,"TRNW",,"ABCC3","CSNK2B","EIF4EBP2","PABPC3","HSPD1",,"TAF15",,"SF3B1",,"GTF2H2C_2","BRE",,"GNAL","ADCY4","INS","NRAS","MRAS","HDAC2","BID","BIRC2",,,,"RRAS","ABCB9","VPS37D","PIPOX","LAMTOR4","IRS1","SLC25A4","PLA2G4D","LRP6","SPOP",,"FLNA","ITGA5","HLA-DMB","TJP3","SERPINA1","MMP1","PPP3CC","MAPK3","ATP6V0A1","GNAI1","GNB3","GNG7","OR1I1","CALML5","KCNN1","LEF1","ATP1A4","KCNK9","GNAI2","SOCS1","BDKRB2","RAB11A","ATP1B2","ELN","MT1HL1"
,,"ACSL5",,,"ND1","POLR1D","BCKDHA",,,,,,"AKR1B10",,,,,,,,,,"UGT1A5",,,"TRNY",,"ABCC10","SPATA5","EIF4G1","PCF11","PABPC1L2A",,"TAF3",,"LSM5",,"XPA",,,"GNAQ","EP300","INSR","OPRD1","PLCB1","MAD2L1","TP53AIP1","BIRC3",,,,"TBC1D15","ATP6V0A2","ADRBK1","PEX5L","LRP6","LEP","SLC25A5","CYP4A22","LRP5","CUL3",,"FLNB","ITGA7","HLA-DOA","HCLS1","PLAT","MMP3","PPP3R1","MAPK8","SLC17A7","GNAI2","GNG3","GNG10","OR10H4","PIK3CA","KCNN2","WNT16","ATP1B1","PDE2A","GNAI3","IRS2","SLC8A1","CREB3L1","ATP1B3","SLC36A1","SLC26A6"
