"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
,,"ACSBG2",,,"ND2","NT5C3A","BCKDHB",,,,,,"PNPLA2",,,,,,,,,,"UGT1A9",,,"NARS",,"ABCC12","DKC1","EIF4G2","CPSF3","ENO4",,"CCNH",,"PRPF6",,"XPC",,,"GNAS","AKT1","ENO4","PDPK1","PIP5K1C","SMAD2","PERP","XIAP",,,,"PINK1","PLA2G15","ADRBK2","ACSL5","LRP5","LEPR","SLC25A6","GUCY1A2","SMAD3","CUL1",,"FLNC","ITGA9","HLA-DOB","HSPA4","PLAU","MMP9","PPP3R2","MAPK11","SLC17A6","GNAI3","GNG4","GNG11","OR2M5","PIK3CB","KCNN3","CALML5","ATP1B2","CALML5","GNAO1","SOCS2","VDR","RAB11B","ATP4A","SLC7A8","SLC5A1"
,,"ACOX3",,,"ND3","ENPP1","OXCT2",,,,,,"GPAM",,,,,,,,,,"UGT1A4",,,"YARS2",,"ABCG2","FBL","EIF5","PELO","CNOT2",,"TBPL1",,"PRPF40B",,"CUL4B",,,"GRIN1","AKT2","LDHA","PIK3CA","PIK3R5","SMAD3","RFWD2","NHLRC1",,,,"BNIP3","ATP6V0D2","AP2A1","PEX1","NRAS","LIPE","HLA-A","GUCY1A3","SMAD4","PTCH2",,"FLT1","ITGAV","HLA-DPA1","ITGB1","PLAUR","MMP13","PRKCB","MAPK9","RAB3A","GNAO1","GNG5","GNGT1","OR2M3","PIK3CD","KCNN4","PLCB2","ATP1B3","PLCB2","GNAS","CACNA1G","CALB1","CREB5","ATP4B","CELA3B","SLC8A1"
,,,,,"ND4","ENPP3","MCCC2",,,,,,"LPIN3",,,,,,,,,,"UGT1A1",,,"SEPSECS",,"ABCG1","XRN2","CASC3","CPSF2","CNOT3",,"GTF2IRD1",,"LSM4",,"CUL4A",,,"GRIN2A","F2R","ARNT","PIK3CB","LPAR3","SMAD4","ZMAT3","UBE2NL",,,,"BNIP3L","FUCA1","DAB2","PEX6","TBC1D7","RAB8A","HLA-B","GUCY1B3","MMP7","CCND2",,"FLT4","ITGB1","HLA-DPB1","JUN","PLG","MUC5AC","MAPK1","MAPK10","CPLX3","GNAQ","GNG7","GNGT2","OR2T12","PIK3R1","ATF4","PLCB3","NOTCH1","PLCB3","GNB1","SOCS3","CLTCL1",,"CALML5","ATP1B4","SLC9A3"
,,,,,"ND4L","CMPK1","AGXT2",,,,,,"MOGAT2",,,,,,,,,,"UGT1A3",,,"LARS",,,"WDR43","NCBP2","PNN","CNOT4",,,,"SYF2",,"CCNH",,,"GRIN2C","RRAS2","LTBR","PIK3CD","MTOR","MCM2","SIAH1","MDM2",,,,"SP1","GAA","AP2A2","PEX7","ATP6V1D","PCK1","HLA-C","PLA2G2E","MYC","BTRC",,"FN1","ITGB3","HLA-DQA1","RHOA","SERPINF2","NFKB1","MAPK3","MAPK13","SLC18A1","GNB1","GNG10","PLA2G4D","OR14C36","PIK3R2","ATP1A1","PLCB4","NOTCH2","PLCB4","GNB2","ADIPOQ","RAB11A",,"PLCB2","COL24A1","TF"
,,,,,"ND5","POLR3K","AACS",,,,,,"PNPLA3",,,,,,,,,,"RETSAT",,,"PET112",,,"MDN1","ACIN1","PPP1CA","PABPC3",,,,"PRPF31",,"RBX1",,,"GRIN2D","ATP1B4","NFKB1","PIK3R1","FYN","MCM3","THBS1","MAP3K1",,,,"SRC","MFSD8","AP2B1","PEX10","WNT16","PCK2","HLA-E","MYLK4","NFATC1","BOC",,"PIP5K1C","ITGB4","HLA-DQA2","LLGL2","PROC","NFKBIA","MAP2K1","MAP2K1","SLC18A2","GNB2","GNG11","HTR3E","OR2T34","PLA2G4A","ATP1A2","WNT4","NOTCH3","PRKACA","GNB3",,"KL",,"PLCB3","COL6A5","VDR"
,,,,,"ND6","UPB1","MCEE",,,,,,"PPAPDC1B",,,,,,,,,,"CYP26B1",,,"SARS2",,,"GTPBP4","NUP205","PPP1CB","PARN",,,,"RNU6-1",,,,,"SLC25A4","FOS","NOS2","PIK3R2","GAB1","MCM4","TP53","MID1",,,,"TFE3","GALC","DNM1","PEX12","ATP6V1H","ADIPOR1","HLA-F","ARAF","NFATC2",,,"FYN","ITGB5","HLA-DQB1","LLGL1","PROS1","ANAPC5","MAP2K2","MAP2K2","SLC18A3","GNB3","GNGT1","HRAS","OR2T10","PLCB2","ATP1A3","POMC","NOTCH4","PRKACB","GNG3",,,,"PLCB4","SLC6A19","SLC30A1"
,,,,,"NDUFA1","POLE3",,,,,,,"DGAT2",,,,,,,,,,"UGT2A2",,,"DARS2",,,"REXO2","CYFIP1","PPP1CC","EXOSC3",,,,"LSM3",,,,,"GRM1","FSHB","NOS3","PLCB2","PLA2G4F","MCM5","TP73","TRIM37",,,,"TP53","GALNS","DNM2","PEX13","PDPK1","PRKAG2","HLA-G","ITPR1","NFATC3",,,"COL6A5","ITGB6","HLA-DRA","MAP3K1","MASP1","IL17D","PTPN6","MAP2K3","SNAP25","GNG3","GNGT2","HTR1A","OR2T4","PLCB3","ATP1A4","PRKACA","FXYD2","PRKACG","GNG4",,,,"KCNK10","KCNJ13","S100G"
,,,,,"NDUFA2","POLA1",,,,,,,"AGPAT9",,,,,,,,,,"RDH5",,,"QRSL1",,,"GNL3","NUP210","PPP2R3C","EXOSC1",,,,"RBMXL2",,,,,"GRM5","FSHR","NPPA","PLCB3","SHC2","MCM6","TSC2","NEDD4",,,,"UBB","GGA1","EGFR","PEX14","CAB39","RAB14","HRAS","ITPR2","NFATC4",,,"SHC2","ITGB7","HLA-DRB1","MAP3K5","BDKRB1","IL17RB","RAC1","MAP2K6","STX1A","GNG4","HRAS","HTR1B","OR2T11","PLCB4","ATP1B1","PRKACB","ATP2A2","PRKCA","GNG5",,,,"PRKACA","KCNN4","CYBRD1"
,,,,,"NDUFA3","POLD1",,,,,,,"LIPF",,,,,,,,,,"RPE65",,,"IARS2",,,"SNORD3B-1","NUP160","MAGOHB","LSM7",,,,"RBMX",,,,,"SLC25A5","GABBR1","SERPINE1","PLCB4","DNM3","MCM7","CASP3","PARK2",,,,"RAB7A","GBA","EPS15","PHYH","ATP6V1A","PDPK1","HUS1","ITPR3","SOST",,,"LAMA1","ITGB8","HLA-DRB3","RAB8A","BDKRB2","MAPK1","RAC2","MAP2K7","STX3","GNG5","ITPR1","HTR1D","OR10J5","PLCG1","ATP1B2","PRKACG","NRAS","PRKCB","GNG7",,,,"PRKACB","KCNQ1","HEPH"
,,,,,"NDUFA4","POLD2",,,,,,,"DGKZ",,,,,,,,,,"DHRS4L1",,,"RARS2",,,"RRP7A","FMR1","PPP2CA","LSM8",,,,"PRPF19",,,,,"GRPR","AMH","ANGPT4","PLD1","CYTH4","MDM2","SESN2","FZR1",,,,"ATG9A","SLC17A5","FGFR3","HAO1","ATP6V1B1","CAB39","IGFBP3","KCNMA1","LEF1",,,"GRB2","AGRN","HLA-DRB4","MLLT4","CFB","MAPK3","RAC3","RAC1","STXBP1","GNG7","ITPR2","HTR1E","OR2B11","PLCG2","ATP1B3","PRKCA","PLCE1","PRKCE","GNG10",,,,"PRKACG","MEP1A",
,,,,,"NDUFA5","POLE",,,,,,,"DGKE",,,,,,,,,,"UGT2B4",,,"VARS2",,,"CSNK2A3","NUP188","PPP2CB","PFKL",,,,"TRA2A",,,,,"SLC25A6","GHSR","PDHA1","PLD2","GNA12","MYC","CASP8","UBR5",,,,"TFEB","AP3M1","FGFR2","HMGCLL1","ATP6V1B2","PFKFB1","IL1A","KCNMB1","WNT16",,,"RAPGEF1","LAMA2","HLA-DRB5","MSN","TFPI","MAPK4","RAF1","RAC2","VAMP2","GNG10","ITPR3","HTR1F","OR10T2","PPP1CA","FXYD2","PRKCB","PDPK1","PRKCG","GNG11",,,,"PRKCA","MEP1B",
,,,,,"NDUFA6","POLE2",,,,,,,"DGKD",,,,,,,,,,"UGT2B7",,,"AARS2",,,"NOB1","NUP62","PPP2R1A","PFKM",,,,"HNRNPA1",,,,,"HRH1","GIPR","PDHA2","S1PR5","GNAS","GADD45B","CASP9","ANAPC5",,,,"TBC1D17","LAMP3","FGFR4","CROT","ATP6V1C1","PFKFB2","IL6","RHOA","NLK",,,"ARHGAP35","LAMA3","HLA-E","MYH1","THBD","MAPK6","RELA","RAC3","SYT1","GNG11","JAK2","HTR2A","OR6P1","PPP1CB","PLCB2","PRKCG","PFKFB2","PRKD1","GNGT1",,,,"PRKCB","MME",
,,,,,"NDUFA7","POLR2A",,,,,,,"PPAP2A",,,,,,,,,,"UGT2B10",,,"QARS",,,"DROSHA","EIF4E1B","PPP2R1B","PFKP",,,,"HNRNPC",,,,,"HRH2","HCAR1","PDHB","PPP2R3C","PLA2G4D","ATM","PPM1D","ANAPC7",,,,"ULK1","GLA","RAB11FIP2","PEX26","ATP6V1E1","PFKFB3","CXCL8","PLA2G2C","SERPINF1",,,"GSK3B","LAMA4","HLA-F","MYH2","SERPING1","MAPK7","SOS1","RAF1","CACNA1A","GNGT1","KCNJ2","HTR2B","OR10X1","PPP1CC","PLCB3","MAPK1","PFKP","CAMK1D","GNGT2",,,,"PRKCG","ATP1A1",
,,,,,"NDUFA8","POLR2B",,,,,,,"PPAP2C",,,,,,,,,,"UGT2B15",,,"RARS",,,"NXT1","GEMIN5","PPP2R2A","EXOSC9",,,,"HNRNPK",,,,,"HTR2A","GLI1","PDK1","PPP2CA","LPAR4","WEE2","TNFRSF10B","UBE2J1",,,,"USP30","GLB1","EPN2","FAR2","PIK3CA","PFKFB4","ITPR1","MYH11","PLCB2",,,"PARVB","LAMA5","HLA-G","MYH3","C1QA","MAPK8","SOS2","MAPK12","CACNA1B","GNGT2","KCNJ3","HTR2C","OR10Z1","ASIC4","PLCB4","MAPK3","PIK3CA","CAMK1G","GRB2",,,,"ACTB","ATP1A2",
,,,,,"NDUFA9","POLR2C",,,,,,,"PPAP2B",,,,,,,,,,"UGT2B17",,,"SARS",,,"GNL2","UPF2","PPP2R2B","EXOSC10",,,,"HNRNPU",,,,,"HTR2B","GLI3","PFKFB3","PPP2CB","GRB2","ORC1","CCNB1","ANAPC11",,,,"BECN1","GM2A","IQSEC2","PECR","PIK3CB","PFKL","ITPR2","MYL6","PLCB3",,,"MYLPF","LAMB1","ICAM1","MYH4","C1QB","MAPK11","SYK","MAP2K4","CLTCL1","GRIA1","KCNJ4","HTR3A","OR6K6","PRKACA","TRPM4","MAP2K1","PIK3CB","CREB3L2","HRAS",,,,"SLC4A2","ATP1A3",
,,,,,"NDUFA10","POLR2D",,,,,,,"DGAT1",,,,,,,,,,"UGT2A3",,,"TARS",,,"EIF6","RNU6-1","PPP2R2C","XRN1",,,,"HSPA1A",,,,,"HTR2C","GLP1R","PFKL","PPP2R1A","GRM1","ORC2","CCND2","PIAS4",,,,"SQSTM1","GNS","SPG20","BAAT","PIK3CD","PFKM","ITPR3","MYLK","PLCB4",,,"HGF","LAMB2","ICAM2","MYH8","C1QC","MAPK9","BTK","SOS1","NAPA","GRIA2","KCNJ6","HTR4","OR6N1","PRKACB","PRKACA","MAP2K2","PIK3CD","STAR","RXFP4",,,,"SLC9A1","ATP1A4",
,,,,,"NDUFAB1","POLR2E",,,,,,,"DGKI",,,,,,,,,,"PNPLA4",,,"VARS",,,"RNR1","SNORD3B-1","PPP2R3A","EXOSC4",,,,"HSPA1B",,,,,"HTR4","GNAI1","PGK1","PPP2R1B","GRM2","ORC4","CCND3","UBE2D4",,,,"TAX1BP1","SUMF1","KIAA1033","PEX19","PIK3R1","PFKP","KIR2DL1","PPP1R12A","WNT4",,,"HRAS","LAMB3","ICAM3","MYH9","C1R","MAPK10","VAV1","SOS2","ATP6V0E1","GRIA3","KCNJ12","HTR5A","OR9A4","PRKACG","PRKACB","RAF1","PIK3R1","DAGLA","INSL3",,,,"SST","ATP1B1",
,,,,,"NDUFB1","POLR2F",,,,,,,"LIPG",,,,,,,,,,"RDH16",,,"WARS",,,"RNR2","PABPC1","PPP2R5A","BTG4",,,,"HSPA1L",,,,,"HTR5A","GNAI2","PIK3CA","PPP2R2A","GRM3","ORC5","CCNE1","PML",,,,"RHOT2","GUSB","NEDD4L","ABCD3","PIK3R2","PIK3CA","KIR2DL2","PPP1R12B","PPARD",,,"BIRC2","LAMC1","ITGA6","MYH10","C1S","MAPK13","VAV2","SYK","ATP6V1E2","GRIA4","KCNJ14","HTR6","OR2Y1","PRKCA","PRKACG","CREB3L2","PIK3R2","CACNA1C","JUN",,,,"SSTR2","ATP1B2",
,,,,,"NDUFB2","POLR2G",,,,,,,"LPIN2",,,,,,,,,,"HSD17B6",,,"CARS2",,,"NHP2L1","CYFIP2","PPP2R5B","DCP1A",,,,"HSPA2",,,,,"HTR6","GNAI3","PIK3CB","PPP2R2B","GRM4","PCNA","CCNG1","UBE2R2",,,,"USP8","HEXA","PSD3","ABCD4","ATP6V1G2","PIK3CB","KIR2DL3","NPR1","PPP3CA",,,"BIRC3","LAMC2","ITGA4","MYH11","C2","PTGS2","CARD11","BTK","ATP6V0D1","GRM1","KCNQ1","HTR7","OR9A2","PRKCB","PRKCA","TCF7","PLCB2","CACNA1D","KRAS",,,,"EZR","ATP1B3",
,,,,,"NDUFB3","POLR2H",,,,,,,,,,,,,,,,,"DGAT1",,,"NARS2",,,"NVL","RGPD4","PPP2R5C","EXOSC5",,,,"HSPA6",,,,,"HTR7","GNAS","PIK3CD","PPP2R2C","GRM5","FZR1","CCNG2","DET1",,,,"EIF2AK3","HEXB","PIP5K1C","PXMP2","WNT4","PIK3CD","KIR2DL4","NPR2","PPP3CB",,,"XIAP","GP6","ITGA9","MYL2","C3","RELA","PIK3R3","TNF","ATP6V1F","GRM5","KCNQ2","APP","OR2A14","PRKCD","PRKCB","TCF7L2","PLCB3","CACNA1F","SHC4",,,,"CA2","FXYD2",
,,,,,"NDUFB4","POLR2I",,,,,,,,,,,,,,,,,"ALDH1A2",,,"TARS2",,,"NMD3","NXT1","PPP2R5D","CNOT6",,,,"HSPA8",,,,,"MYLK4","FFAR2","PIK3R1","PPP2R3A","GRM6","ANAPC5","CCNB2","FANCL",,,,"ATG5","HYAL1","FOLR1","PEX2","MIOS","PIK3R1","KRAS","PLA2G3","PPP3CC",,,"TNC","RELN","ITGAL","MYL6","C3AR1","S100A7","IKBKG","VAV1","ATP6V1G1","ITPR1","KCNQ3","ARAF","OR6B1","PRKCE","PRKCG","TYR","PLCB4","CACNA1S","ARRB1",,,,"CALM1","COL5A3",
,,,,,"NDUFB5","POLR2J",,,,,,,,,,,,,,,,,"LRAT",,,"CARS",,,"FCF1","PABPC1L2A","PPP2R5E","LSM2",,,,"MAGOH",,,,,"ITPKA","GRIA1","PIK3R2","PPP2R5A","GRM7","ANAPC7","CCNE2","UBA6",,,,"MFN2","IDS","FOLR2","PEX5","DDIT4","PIK3R2","SMAD2","CALML5","PPP3R1",,,"IBSP","SDC1","ITGAM","NEDD4","C4A","S100A8","IFITM1","VAV2",,"ITPR2","KRAS","ITPR1","OR2F2","PRKCG","RAB3A","TYRP1","PLCD1","CALM1","SMAD2",,,,"CALM2","CELA2B",
,,,,,"NDUFB6","POLR2K",,,,,,,,,,,,,,,,,"DHRS3",,,"YARS",,,"UTP18","NUP43","WDR33","PAPD5",,,,"HNRNPM",,,,,"ITPKB","GRIA2","PLCG1","PPP2R5B","GRM8","ANAPC11","GORAB","UBE2W",,,,"USP15","IDUA","FOLR3","SCP2","LAMTOR1","PRKAG3","SMAD3","PLA2G1B","PPP3R2",,,"MYLK4","SDC4","ITGAV","NF2","C4B","S100A9","BCL10","PIK3R3",,"ITPR3","ACHE","ITPR2","OR13C5","PRKCH","RYR2","WNT1","PLCG1","CALM2","SMAD3",,,,"CALM3","PGA5",
,,,,,"NDUFB7","POLR2L",,,,,,,,,,,,,,,,,,,,"MARS2",,,"SBDS","EIF3E","PPP2R2D","PABPC1L2B",,,,"NCBP1",,,,,"ITPR1","GRIA3","PLCG2","PPP2R5C","HRAS","PLK1","EI24","FBXW7",,,,,"IGF2R","ACAP2","SOD1","STRADB","PPARG","MDM2","PLA2G2A","PRKACA",,,"IGF1","TNN","ITGB1","CLDN20","C4BPA","MAPK12","CD19","PLA2G4C",,"NDUFS7","ATF4","ITPR3","OR13C8","PRKCQ","CREB3L2","WNT2","PLCG2","CALM3","ARRB2",,,,"CALML3","SLC38A2",
,,,,,"NDUFB8","POLR2J3",,,,,,,,,,,,,,,,,,,,,,,"POP5","KPNB1","NXT2","SKIV2L",,,,"NHP2L1",,,,,"ITPR2","GRIA4","EGLN1","PPP2R5D","CXCL8","ATR","TP53I3","UBE2Q1",,,,,"LAMP1","PSD4","SOD2","PRR5","PPP2R3C","MRE11A","PLA2G4A","PRKACB",,,"IGF1R","SPP1","ITGB2","CLDN11","C4BPB","CCL2","CD22","JMJD7-PLA2G4B",,"KCNJ3","NRAS","KCND2","OR13C3","MAPK8","SLC2A1","WNT3","PLN","CALML3","MMP1",,,,"CAMK2A","PRCP",
,,,,,"NDUFB9","UCKL1",,,,,,,,,,,,,,,,,,,,,,,"NOP58","SUMO4","NXF5","BTG1",,,,"RBMXL1",,,,,"ITPR3","GRIN1","PRKCA","PPP2R5E","CXCR1","PRKDC","CDK1","KLHL9",,,,,"LAMP2","CBLC","DHRS4L1","PRKAA1","PPP2CA","MYBL2","PLA2G5","PRKACG",,,"ILK","THBS1","ITGB7","F11R","C5","CCL7","CD72","GAB2",,"KCNJ5","GNG13","KCNJ3","OR13C4","MAPK11","SLC2A2","WNT5A","SLCO1C1","CAMK4","MMP2",,,,"CAMK2B","PRSS1",
,,,,,"NDUFB10","PRIM1",,,,,,,,,,,,,,,,,,,,,,,"GAR1","RGPD1","NXF3","BTG2",,,,"PCBP1",,,,,"LHCGR","GRIN2A","PRKCB","SPTLC3","CXCR2","RAD21",,"SMURF1",,,,,"LIPA","FAM21C","XDH","PRKAA2","PPP2CB","MYC","PLCB2","PRKCA",,,"ITGA6","THBS2","ITGB8","PARD6A","C5AR1","CCL11","CD79A",,,"KCNJ6","PIK3CA","KCNJ5","OR13F1","MAPK9","SNAP25","WNT6","WNT4","CAMK2A","MMP9",,,,"CAMK2D","PRSS2",
,,,,,"NDUFC1","PRIM2",,,,,,,,,,,,,,,,,,,,,,,"XRN1","MAGOH","NXF2","EDC3",,,,"CRNKL1",,,,,"MYLK","GRIN2B","PRKCG","PRKCA","INS","RB1",,"BIRC6",,,,,"M6PR","SNX32","ACOX2","PRKCA","PPP2R1A","GADD45B","PLCB3","PRKCB",,,"ITGA1","THBS3","L1CAM","PCNA","C6","CCL17","CD79B",,,"KCNJ9","PIK3CB","KCNJ6","OR1L8","MAPK10","STX1A","WNT7A","MED1","CAMK2B","MMP13",,,,"CAMK2G","PRSS3",
,,,,,"NDUFC2","POLR3B",,,,,,,,,,,,,,,,,,,,,,,"GNL3L","NCBP1","PAPOLB","PABPC1L",,,,"CDC40",,,,,"NOS1","GRIN2C","MAPK1","PRKCB","INSR","RBL1",,"UBE2O",,,,,"ARSA","CHMP2B","ACOX3","PRKCB","PPP2R1B","NBN","PLCB4","PRKCG",,,"ITGA2","THBS4","MAG","CLDN18","C7","CCL20","CD81",,,"ND1","PIK3CD","KCNJ9","OR1N2","MAPK13","ABCC8","WNT7B","PRKACA","CAMK2D","ATF4",,,,"MYLK2","ACE2",
,,,,,"NDUFS1","POLR3E",,,,,,,,,,,,,,,,,,,,,,,"RPP25","NUP88","UPF1","WDR61",,,,"CWC15",,,,,"NOS2","GRIN2D","MAPK3","PRKCE","ARF1","RBL2",,"RFWD2",,,,,"ARSB","DNM3","NUDT12","PRKCG","PPP2R2A","ATM","PPP1R12C","MAPK8",,,"ITGA2B","TNR","CD99","AMOTL2","C8A","CXCL6",,,,"ND2","PIK3CG","KCNN2","OR1N1","MAP2K3","VAMP2","WNT8A","PRKACB","CAMK2G","NFKB1",,,,"CCKBR","CELA2A",
,,,,,"NDUFS2","CTPS2",,,,,,,,,,,,,,,,,,,,,,,"HEATR1","NUP98","PABPC1L2B","ZCCHC7",,,,"SF3B6",,,,,"NOS3","HTR1A","MAP2K1","PRKCG","KIT","CCND1",,"ANAPC1",,,,,"MAN2B1","RAB11FIP5","FAR1","MAPK1","PPP2R2B","NFATC1","PPP1CA","MAPK9",,,"ITGA3","TNXB","MPZ","PRKAG2","C8B","CXCL5",,,,"ND3","PIK3R1","KRAS","OR52B4","MAP2K6","CACNA1C","WNT8B","PRKACG","CREB3L3","NFKBIA",,,,"MYLK3","PGA3",
,,,,,"NDUFS3","POLE4",,,,,,,,,,,,,,,,,,,,,,,"RBM28","PABPC3","PAPOLG","PNPT1",,,,"PPIL1",,,,,"ATP2A1","HTR1B","MAP2K2","PPP2R2D","ARF6","ANAPC1",,"SMURF2",,,,,"MANBA","LDLRAP1","GNPAT","MAPK3","PPP2R2C","NFATC2","PPP1CB","MAPK10",,,"ITGA4","VTN","NCAM1","RAPGEF6","C8G","SRSF1",,,,"ND4","PIK3R2","MAOA","OR52I2","PTGER2","CACNA1D","WNT10B","PRKCA","ORAI1","NOS1",,,,"CALML4","PGA4",
,,,,,"NDUFV1","NT5M",,,,,,,,,,,,,,,,,,,,,,,"NAT10","GEMIN4","UPF3B","PABPC4",,,,"LSM7",,,,,"ATP2A2","HTR1D","BCL2","PRKCZ","KRAS","SKP1",,"SIAH1",,,,,"ASAH1","ARFGAP3","CAT","MAP2K1","PPP2R3A","NFATC3","PPP1CC","PSEN1",,,"ITGA5","VWF","NCAM2","RAB8B","C9","IL25",,,,"ND4L","PLCB2","MAOB","OR51E1","PTGER4","CACNA1F","WNT11","PRKCB","CAMK1","NOS2",,,,"KCNE2","SLC1A1",
,,,,,"NDUFS4","POLD4",,,,,,,,,,,,,,,,,,,,,,,"IMP3","NMD3","UPF3A","RQCD1",,,,"LSM8",,,,,"ATP2A3","HTR1E","RELA","MAPK1","RHOA","SKP2",,"SKP1",,,,,"NAGA","CYTH4","MPV17L2","MAP2K2","PPP2R5A","NFATC4","AVPR1A","CTNNBIP1",,,"ITGA7","ITGA10","NEO1","TUBA8","VTN","MAP3K7",,,,"ND5","PLCB3","NRAS","OR10A5","TRPV4","CACNA1S","WNT2B","PRKCG","CACNA1I","NOS3",,,,,"SLC1A5",
,,,,,"NDUFS5","RRM1",,,,,,,,,,,,,,,,,,,,,,,"LSG1","TRNT1","NXF2B","CNOT8",,,,"WBP11",,,,,"ATP2B1","HTR1F","RPS6","MAPK3","SHC4","BUB1",,"SKP2",,,,,"NAGLU","SNX5","PEX3","PTEN","PPP2R5B","NFKB1","AVPR1B","VANGL2",,,"ITGA9","ITGA8","NRCAM","PRKAG3","VWF","TNF",,,,"ND6","PLCB4","GNG13","OR2AG1","BDKRB1","CAMK2A","WNT9A","MAPK1","CACNA1H","NRAS",,,,,"SLC3A1",
,,,,,"NDUFS6","RRM2",,,,,,,,,,,,,,,,,,,,,,,"NOP10","POP5","DDX39B","TTC37",,,,"PLRG1",,,,,"ATP2B2","HTR4","RPS6KB1","MAPK8","KITLG","BUB1B",,"UBE2Z",,,,,"NEU1","VPS4A","DDO","RPTOR","PPP2R5C","NRAS","PRKACA","CHD8",,,"ITGAV","CD36","CLDN20","CLDN22","F2RL3","TNFAIP3",,,,"NDUFA1","GNG2","PLA2G4A","OR6B3","BDKRB2","CAMK2B","WNT9B","MAPK3","CACNA1G","RXFP3",,,,,"SLC3A2",
