"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAMK2B",,,,,,,,,,,,"UBB",,,,,,,,,"PIK3R3",,,,,,,,,,,,"OR8D2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAMK2D",,,,,,,,,,,,"WAS",,,,,,,,,"ITGA10",,,,,,,,,,,,"OR8B4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAMK2G",,,,,,,,,,,,"WIPF1",,,,,,,,,"ITGA8",,,,,,,,,,,,"OR9G4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACOX3",,,,,,,,,,,,"CXCR4",,,,,,,,,"MYLK2",,,,,,,,,,,,"OR10A4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PPP1R1B",,,,,,,,,,,,"RAB7A",,,,,,,,,"CAV1",,,,,,,,,,,,"OR6C6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREB3L3",,,,,,,,,,,,"CHMP6",,,,,,,,,"CAV2",,,,,,,,,,,,"OR4N4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ORAI1",,,,,,,,,,,,"VPS37B",,,,,,,,,"CAV3",,,,,,,,,,,,"OR2Z1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PIK3R3",,,,,,,,,,,,"RAB11FIP1",,,,,,,,,"ACTN1",,,,,,,,,,,,"OR10H5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HCAR3",,,,,,,,,,,,"RUFY1",,,,,,,,,"CCND2",,,,,,,,,,,,"OR2L13",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREB3L1",,,,,,,,,,,,"STAM",,,,,,,,,"CCND3",,,,,,,,,,,,"OR14A16",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CALML4",,,,,,,,,,,,"ARPC5L",,,,,,,,,"MYLK3",,,,,,,,,,,,"OR2V2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ROCK2",,,,,,,,,,,,"CLTCL1",,,,,,,,,"MYL10",,,,,,,,,,,,"OR13C9",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GABBR2",,,,,,,,,,,,"CAPZA1",,,,,,,,,"ROCK2",,,,,,,,,,,,"OR13D1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CREB5",,,,,,,,,,,,"CAPZA2",,,,,,,,,"BCAR1",,,,,,,,,,,,"GUCY2D",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPZB",,,,,,,,,"CDC42",,,,,,,,,,,,"OR8D4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITCH",,,,,,,,,,,,,,,,,,,,,"OR5F1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PIP5K1A",,,,,,,,,,,,,,,,,,,,,"OR5AP2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PIP5K1B",,,,,,,,,,,,,,,,,,,,,"OR52L1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EEA1",,,,,,,,,,,,,,,,,,,,,"OR2AG2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PSD2",,,,,,,,,,,,,,,,,,,,,"OR52B6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VPS25",,,,,,,,,,,,,,,,,,,,,"OR2AT4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARFGAP2",,,,,,,,,,,,,,,,,,,,,"OR10A2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB11FIP4",,,,,,,,,,,,,,,,,,,,,"OR6C2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PARD6G",,,,,,,,,,,,,,,,,,,,,"OR6C4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PARD6B",,,,,,,,,,,,,,,,,,,,,"OR8S1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAV1",,,,,,,,,,,,,,,,,,,,,"OR6S1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAV2",,,,,,,,,,,,,,,,,,,,,"OR6F1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAV3",,,,,,,,,,,,,,,,,,,,,"OR2W3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CBL",,,,,,,,,,,,,,,,,,,,,"OR2T8",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CBLB",,,,,,,,,,,,,,,,,,,,,"OR2T3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNX4",,,,,,,,,,,,,,,,,,,,,"OR10R2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNX3",,,,,,,,,,,,,,,,,,,,,"OR2T29",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GBF1",,,,,,,,,,,,,,,,,,,,,"OR6V1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB11A",,,,,,,,,,,,,,,,,,,,,"OR2A12",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASAP2",,,,,,,,,,,,,,,,,,,,,"OR2A1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WASL",,,,,,,,,,,,,,,,,,,,,"OR1J1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MVB12B",,,,,,,,,,,,,,,,,,,,,"OR1B1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USP8",,,,,,,,,,,,,,,,,,,,,"OR13H1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RABEP1",,,,,,,,,,,,,,,,,,,,,"OR56B1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HGS",,,,,,,,,,,,,,,,,,,,,"OR6B2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHMP7",,,,,,,,,,,,,,,,,,,,,"OR52K1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB11B",,,,,,,,,,,,,,,,,,,,,"OR52I1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHMP4C",,,,,,,,,,,,,,,,,,,,,"OR51D1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CYTH3",,,,,,,,,,,,,,,,,,,,,"OR52A5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CYTH2",,,,,,,,,,,,,,,,,,,,,"OR51B6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CYTH1",,,,,,,,,,,,,,,,,,,,,"OR51M1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MVB12A",,,,,,,,,,,,,,,,,,,,,"OR51Q1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPZA3",,,,,,,,,,,,,,,,,,,,,"OR51I1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZFYVE9",,,,,,,,,,,,,,,,,,,,,"OR51I2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VPS4B",,,,,,,,,,,,,,,,,,,,,"OR52D1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VPS26A",,,,,,,,,,,,,,,,,,,,,"OR52H1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB11FIP3",,,,,,,,,,,,,,,,,,,,,"OR52N4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACAP1",,,,,,,,,,,,,,,,,,,,,"OR52N5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ZFYVE16",,,,,,,,,,,,,,,,,,,,,"OR52N2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IST1",,,,,,,,,,,,,,,,,,,,,"OR52E6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GIT2",,,,,,,,,,,,,,,,,,,,,"OR52E8",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DNAJC6",,,,,,,,,,,,,,,,,,,,,"OR52E4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIAA0196",,,,,,,,,,,,,,,,,,,,,"OR56A3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IQSEC1",,,,,,,,,,,,,,,,,,,,,"OR56A5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDC42",,,,,,,,,,,,,,,,,,,,,"OR10A6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR4X1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5D13",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5D16",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5W2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR8H2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR8H3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5T3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5T1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR8K1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5M9",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5M10",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5M1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR9G1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR5AK2",,,,,,,,,,,,
