mRNA,RNAseq,stat
FUT5_3,ETF1_1,11.1
DCTN2_3,SDHC_1,11.1
KCNN3_3,GGPS1_1,11
MCAT_3,PABPN1_1,10.9
UNG_3,ACTR3_1,10.9
CYP7B1_3,HSD17B10_1,10.9
ST8SIA1_3,THOC7_1,10.8
TAF9_3,PARP2_1,10.8
FUT5_3,PABPN1_1,10.8
CYP7B1_3,ELK1_1,10.8
FUT5_3,SNRPD1_1,10.7
DCTN2_3,SNRPD2_1,10.7
FUT5_3,UBE2M_1,10.7
CH25H_3,COX5B_1,10.7
HSD17B6_3,PARP2_1,10.6
TAF4B_3,ATP5E_1,10.6
RDH16_3,DYNLL1_1,10.6
CYP7B1_3,ARHGDIA_1,10.6
CYP7B1_3,UQCRC2_1,10.5
RETSAT_3,BUD31_1,10.5
MMP2_3,ATP5G3_1,10.5
SQRDL_3,GARS_1,10.5
ST8SIA1_3,TOMM7_1,10.5
ST8SIA1_3,ATG12_1,10.4
FUT5_3,THOC7_1,10.3
ST8SIA1_3,ATP5C1_1,10.3
CYP7B1_3,COX7A2L_1,10.3
RETSAT_3,UQCRH_1,10.3
DCTN2_3,BUD31_1,10.3
PTPLAD2_3,ATG12_1,10.3
UNG_3,WIPI2_1,10.3
BDH2_3,ARPC4_1,10.2
ST8SIA1_3,EIF3CL_1,10.2
BDH2_3,ACTR3_1,10.2
TAF4B_3,SNRNP70_1,10.2
BDH2_3,SF3B4_1,10.2
TAF9_3,UBE2M_1,10.2
KCNN3_3,HNRNPU_1,10.1
RETSAT_3,RIOK2_1,10.1
TAF4B_3,ATP5A1_1,10
TAF9_3,PABPN1_1,10
PGM2_3,CIRH1A_1,10
ST8SIA1_3,PEX13_1,10
CH25H_3,SNRPD1_1,9.9
KCNN3_3,FTH1_1,9.9
RETSAT_3,ALDOA_1,9.9
RETSAT_3,TBL3_1,9.9
TAF4B_3,COX7C_1,9.8
TAF4B_3,TRA2B_1,9.8
CYP7B1_3,EIF1AX_1,9.8
FUT5_3,CHMP4B_1,9.7
TAF4B_3,RRAGA_1,9.7
XPA_3,SH3GL1_1,9.7
HSD17B6_3,APEX1_1,9.6
UNG_3,EMG1_1,9.6
PGM2_3,ACTR3_1,9.6
TAF4B_3,ARPC1A_1,9.6
ST8SIA1_3,SNRPD3_1,9.6
TAF4B_3,WIPI2_1,9.6
SQRDL_3,UQCRFS1_1,9.5
UNG_3,ARPC1A_1,9.5
FUT5_3,SDHC_1,9.5
UNG_3,SF3B5_1,9.5
RETSAT_3,SSU72_1,9.4
FUT5_3,PCBP1_1,9.4
CH25H_3,PRDX1_1,9.4
ST8SIA1_3,EIF3C_1,9.4
PTPLAD2_3,APEX1_1,9.3
RAD23A_3,ATP5O_1,9.3
CYP7B1_3,GGPS1_1,9.3
KCNN3_3,GARS_1,9.3
PGM2_3,SF3B5_1,9.3
PTPLAD2_3,KARS_1,9.2
PTPLAD2_3,EIF4A1_1,9.2
CYP7B1_3,NOP56_1,9.2
UNG_3,SNRNP70_1,9.2
RETSAT_3,ECH1_1,9.1
CH25H_3,EIF1AX_1,9.1
ST8SIA1_3,COX4I1_1,9
XPA_3,RBBP4_1,9
FUT5_3,RIOK2_1,9
CH25H_3,WARS_1,9
CH25H_3,EIF1_1,9
ST8SIA1_3,MPV17L2_1,9
XPA_3,PCBP1_1,9
MMP2_3,DYNLL1_1,9
RETSAT_3,FTH1_1,8.9
CYP7B1_3,PRDX5_1,8.9
CH25H_3,HNRNPA1L2_1,8.9
PGM2_3,WIPI2_1,8.9
XPA_3,SNRPD1_1,8.8
KCNN3_3,ATP5B_1,8.8
BDH2_3,SSU72_1,8.8
PGM2_3,SSU72_1,8.8
ST8SIA1_3,YWHAE_1,8.8
TAF9_3,HNRNPC_1,8.7
TAF4B_3,UQCRH_1,8.7
CH25H_3,ATP5O_1,8.6
MCAT_3,RBBP4_1,8.6
CH25H_3,FUCA2_1,8.6
RETSAT_3,ATP5E_1,8.6
NNMT_3,SUMO3_1,8.6
CH25H_3,CNOT3_1,8.6
PTPLAD2_3,FTH1_1,8.5
CYP7B1_3,EIF5B_1,8.5
CYP7B1_3,ATP5J2_1,8.5
PTPLAD2_3,SF3B4_1,8.5
KCNN3_3,HMGB1_1,8.4
CYP7B1_3,TXNL4A_1,8.4
PGM2_3,EMG1_1,8.4
CH25H_3,GGPS1_1,8.4
CH25H_3,ATG12_1,8.4
ST3GAL6_3,ATP5G3_1,8.4
PTPLAD2_3,SH3GL1_1,8.4
PGM2_3,COX7B_1,8.3
CYP7B1_3,TUBA1C_1,8.3
HSD17B6_3,SNRPD2_1,8.2
CYP7B1_3,NOP58_1,8.2
KCNN3_3,ARF5_1,8.2
UNG_3,RRAGA_1,8.2
CYP7B1_3,ATG12_1,8.1
CYP7B1_3,VAMP8_1,8.1
ST8SIA1_3,U2AF1_1,8
TAF4B_3,EMG1_1,8
CYP7B1_3,DKC1_1,8
CYP7B1_3,YWHAE_1,8
CH25H_3,HNRNPA3_1,7.9
PTPLAD2_3,ARPC4_1,7.9
CYP7B1_3,SHFM1_1,7.9
FUT5_3,DYNLL1_1,7.9
KCNN3_3,HNRNPC_1,7.8
XPA_3,THOC7_1,7.8
PTPLAD2_3,PARP2_1,7.8
DCTN2_3,ALDOA_1,7.8
TAF4B_3,ECH1_1,7.8
PTPLAD2_3,COX7A2L_1,7.8
BDH2_3,SUMO3_1,7.8
BDH2_3,PAIP1_1,7.8
CH25H_3,UQCRQ_1,7.8
RETSAT_3,SNRNP70_1,7.8
XPA_3,SDHC_1,7.8
CH25H_3,HSP90B1_1,7.7
KCNN3_3,SNRPA_1,7.7
FUT5_3,BUD31_1,7.7
KCNN3_3,ACTR3_1,7.7
RDH16_3,ARPC1A_1,7.7
RAD23A_3,SNRNP70_1,7.7
NNMT_3,APEX1_1,7.6
HSD17B6_3,HNRNPU_1,7.6
CYP7B1_3,ATP5O_1,7.6
XPA_3,PABPN1_1,7.6
KCNN3_3,SSU72_1,7.6
CYP7B1_3,HNRNPA1L2_1,7.6
CYP7B1_3,SH3GL1_1,7.6
ST8SIA1_3,CD63_1,7.6
ST8SIA1_3,EIF2S3_1,7.5
SQRDL_3,ACTR3_1,7.5
TAF4B_3,FTH1_1,7.4
UNG_3,ATP5O_1,7.4
NNMT_3,EIF4A1_1,7.4
ST8SIA1_3,FTL_1,7.4
CH25H_3,BUD31_1,7.4
PTPLAD2_3,ARF5_1,7.4
KCNN3_3,SDHC_1,7.4
PGM2_3,PRPF31_1,7.4
CYP7B1_3,APEX1_1,7.3
TAF4B_3,SNRPD1_1,7.3
CH25H_3,KARS_1,7.3
PGM2_3,PARP2_1,7.3
XPA_3,ATP5O_1,7.3
CYP7B1_3,PABPN1_1,7.3
NNMT_3,RIOK2_1,7.3
RETSAT_3,ACTR3_1,7.3
TAF4B_3,TBL3_1,7.3
CH25H_3,ATP5L_1,7.2
TAF4B_3,SF3B5_1,7.2
MCAT_3,APEX1_1,7.1
CH25H_3,PARP2_1,7.1
CH25H_3,NARS_1,7.1
TAF9_3,ATP5O_1,7.1
SQRDL_3,RBBP4_1,7.1
UNG_3,COX7B_1,7.1
TAF9_3,RIOK2_1,7.1
CH25H_3,EIF3CL_1,7.1
SQRDL_3,HNRNPU_1,7
TAF4B_3,TAF9_1,7
PGM2_3,RBBP4_1,7
CYP7B1_3,UBE2D2_1,7
CH25H_3,HSPD1_1,7
XPA_3,ETF1_1,7
FUT5_3,ARF5_1,7
CH25H_3,GEMIN8_1,7
ST3GAL6_3,SNRPD2_1,6.9
ST8SIA1_3,QARS_1,6.9
ST3GAL6_3,HNRNPA3_1,6.8
BDH2_3,FTH1_1,6.8
FUT5_3,HMGB1_1,6.8
KCNN3_3,HSPA9_1,6.8
CH25H_3,FTL_1,6.8
CYP7B1_3,GEMIN8_1,6.8
PGM2_3,SNRNP70_1,6.8
BDH2_3,COX6A1_1,6.8
CYP7B1_3,CWC15_1,6.8
SQRDL_3,SH3GL1_1,6.8
DCTN2_3,SH3GL1_1,6.8
FUT5_3,HNRNPU_1,6.7
CH25H_3,EIF5B_1,6.7
KCNN3_3,TRA2B_1,6.7
CH25H_3,ATP5E_1,6.7
FUT5_3,ATP5J_1,6.7
CH25H_3,NPRL2_1,6.7
CYP7B1_3,GPI_1,6.7
KCNN3_3,CD63_1,6.7
UNG_3,HNRNPU_1,6.6
PTPLAD2_3,SNX5_1,6.6
ST8SIA1_3,HSPD1_1,6.6
CH25H_3,ELK1_1,6.6
SQRDL_3,ATP5C1_1,6.5
SQRDL_3,SSU72_1,6.5
CYP7B1_3,EIF3CL_1,6.5
ST8SIA1_3,HNRNPA1L2_1,6.5
RETSAT_3,ARPC1A_1,6.5
CH25H_3,TRA2A_1,6.5
CH25H_3,GAPDH_1,6.4
PTPLAD2_3,HNRNPA1_1,6.4
XPA_3,HMGB1_1,6.4
KCNN3_3,COX7B_1,6.4
ST8SIA1_3,CAPZB_1,6.4
ST8SIA1_3,GEMIN8_1,6.4
UNG_3,ATP5A1_1,6.3
TAF9_3,RBBP4_1,6.3
CYP7B1_3,FARSB_1,6.3
XPA_3,BUD31_1,6.3
DCTN2_3,CHMP4B_1,6.3
KCNN3_3,TBL3_1,6.3
CYP7B1_3,HSP90B1_1,6.2
UNG_3,FTH1_1,6.2
XPA_3,HSPA9_1,6.2
CYP7B1_3,U2AF1_1,6.2
CH25H_3,NOP56_1,6.2
CYP7B1_3,TCOF1_1,6.1
ST8SIA1_3,TUBA1C_1,6.1
ST8SIA1_3,ATP5J2_1,6.1
CH25H_3,STUB1_1,6.1
CH25H_3,EIF6_1,6.1
CH25H_3,EPN1_1,6.1
PTPLAD2_3,TOMM7_1,6.1
HSD17B6_3,HNRNPC_1,6
CYP7B1_3,GAPDH_1,6
FUT5_3,HSPA9_1,6
CH25H_3,ARPC2_1,6
PTPLAD2_3,PAIP1_1,6
DCTN2_3,GGPS1_1,6
TAF4B_3,BUD31_1,6
CH25H_3,DYNLL1_1,6
ST8SIA1_3,YARS_1,5.9
CH25H_3,SNRPG_1,5.9
TAF9_3,GGPS1_1,5.9
ST8SIA1_3,COX5A_1,5.9
RETSAT_3,WIPI2_1,5.9
ST8SIA1_3,COX6A1_1,5.9
MCAT_3,COX7B_1,5.8
KCNN3_3,EMG1_1,5.8
RETSAT_3,EIF1_1,5.8
MCAT_3,ATP5G3_1,5.8
KCNN3_3,WIPI2_1,5.8
MCAT_3,WIPI2_1,5.8
ST8SIA1_3,FARSB_1,5.7
CYP7B1_3,SNRPG_1,5.7
CYP7B1_3,SNRPB_1,5.7
PGM2_3,UQCRQ_1,5.7
CH25H_3,ATP5G2_1,5.7
ST8SIA1_3,NPRL2_1,5.7
ST8SIA1_3,NAPA_1,5.7
ST8SIA1_3,EIF3I_1,5.6
CYP7B1_3,EIF3I_1,5.6
PGM2_3,RRAGA_1,5.6
TAF9_3,PRPF31_1,5.6
ST3GAL6_3,SH3GL1_1,5.6
DCTN2_3,HNRNPC_1,5.5
PGM2_3,HSPA9_1,5.5
ST8SIA1_3,ARPC5L_1,5.5
CH25H_3,COX7A2L_1,5.5
KCNN3_3,QARS_1,5.5
MCAT_3,SSU72_1,5.5
CH25H_3,UQCRC1_1,5.5
TAF4B_3,EIF1_1,5.5
CH25H_3,CAPZB_1,5.5
PTPLAD2_3,UQCRQ_1,5.5
MCAT_3,ACTR3_1,5.5
MCAT_3,ARPC1A_1,5.5
UNG_3,TBL3_1,5.5
CH25H_3,TAF9_1,5.4
FUT5_3,ATP5O_1,5.4
UNG_3,ECH1_1,5.4
ST8SIA1_3,SHFM1_1,5.4
ST8SIA1_3,NOP58_1,5.4
CYP7B1_3,PDHA1_1,5.4
CH25H_3,COX8A_1,5.4
RETSAT_3,TAF9_1,5.3
CH25H_3,FARSB_1,5.3
MCAT_3,EMG1_1,5.3
KCNN3_3,UQCRC2_1,5.3
CYP7B1_3,UBE2L3_1,5.3
KCNN3_3,ARPC1A_1,5.3
CH25H_3,FIS1_1,5.3
RETSAT_3,RRAGA_1,5.3
PTPLAD2_3,VAMP8_1,5.3
CH25H_3,PRPF31_1,5.3
RETSAT_3,SNRPD2_1,5.2
TAF4B_3,COX7B_1,5.2
KCNN3_3,ATP5L_1,5.2
DCTN2_3,CDC34_1,5.2
CH25H_3,ATP5B_1,5.1
CH25H_3,TXNL4A_1,5.1
PTPLAD2_3,PGK1_1,5.1
RETSAT_3,EMG1_1,5.1
PGM2_3,FTL_1,5.1
RETSAT_3,NOP56_1,5.1
KCNN3_3,ATIC_1,5.1
FUT5_3,UBA1_1,5.1
ST8SIA1_3,COX7C_1,5
XPA_3,UQCRQ_1,5
ST8SIA1_3,EIF6_1,5
CYP7B1_3,GEMIN7_1,5
KCNN3_3,SF3B5_1,5
ST8SIA1_3,ATP5A1_1,4.9
DCTN2_3,ATP5B_1,4.9
KCNN3_3,RBMX_1,4.9
CYP7B1_3,SDHB_1,4.9
CH25H_3,DCP2_1,4.9
PTPLAD2_3,EIF5B_1,4.8
CH25H_3,EIF2S3_1,4.8
UNG_3,UQCRQ_1,4.8
ST8SIA1_3,COX8A_1,4.8
KCNN3_3,ATP5J_1,4.8
CH25H_3,COX5A_1,4.8
CH25H_3,EIF3I_1,4.7
KCNN3_3,ECH1_1,4.7
DCTN2_3,ECH1_1,4.7
FUT5_3,SF3B2_1,4.7
CYP7B1_3,ARPC2_1,4.7
KCNN3_3,RNF7_1,4.7
PTPLAD2_3,ACTR3_1,4.7
CYP7B1_3,ACTR3_1,4.7
CH25H_3,PQBP1_1,4.7
CYP7B1_3,GARS_1,4.7
FUT5_3,SNRPD3_1,4.7
DCTN2_3,HNRNPA3_1,4.6
CH25H_3,HMGB1_1,4.6
CYP7B1_3,RBBP4_1,4.6
KCNN3_3,EXOSC2_1,4.6
CYP7B1_3,YARS_1,4.6
CH25H_3,SNRPB_1,4.6
CH25H_3,TUBA1C_1,4.6
CH25H_3,GPI_1,4.6
RETSAT_3,SF3B5_1,4.6
CYP7B1_3,THOC7_1,4.5
SQRDL_3,ATG3_1,4.5
CH25H_3,NOP10_1,4.5
CH25H_3,UQCRB_1,4.4
ST8SIA1_3,PQBP1_1,4.4
CH25H_3,EIF3C_1,4.4
TAF4B_3,HSPA9_1,4.3
PTPLAD2_3,SSU72_1,4.3
CH25H_3,YARS_1,4.3
CH25H_3,DKC1_1,4.3
ST8SIA1_3,PDHA1_1,4.3
FUT5_3,DDX42_1,4.3
KCNN3_3,PIGY_1,4.3
CH25H_3,HSD17B10_1,4.3
CYP7B1_3,NOP10_1,4.3
ST8SIA1_3,STUB1_1,4.3
PTPLAD2_3,YWHAE_1,4.3
CYP7B1_3,NARS_1,4.2
CYP7B1_3,SSU72_1,4.2
SQRDL_3,ETF1_1,4.2
ST8SIA1_3,DCP2_1,4.2
CH25H_3,MPV17L2_1,4.2
CH25H_3,ATP5J2_1,4.2
PTPLAD2_3,GARS_1,4.2
CYP7B1_3,TOMM7_1,4.2
CH25H_3,TCOF1_1,4.1
CH25H_3,PDHA1_1,4.1
CH25H_3,HIBADH_1,4.1
CYP7B1_3,HIBADH_1,4.1
ST8SIA1_3,FIS1_1,4.1
CYP7B1_3,PRDX1_1,4.1
SQRDL_3,ATP5A1_1,4
CH25H_3,TRA2B_1,4
PTPLAD2_3,UQCRB_1,4
CH25H_3,NOP58_1,4
CH25H_3,SDHB_1,4
ST8SIA1_3,UBE2L3_1,4
CH25H_3,FUNDC1_1,4
CH25H_3,ARPC5L_1,3.9
ST8SIA1_3,UQCRC2_1,3.9
CYP7B1_3,RARS_1,3.9
KCNN3_3,DDX42_1,3.9
SQRDL_3,PCBP1_1,3.9
CYP7B1_3,PQBP1_1,3.9
CYP7B1_3,P2RX5_1,3.9
ST8SIA1_3,COX5B_1,3.9
CH25H_3,MCAT_1,3.9
CYP7B1_3,COX7B_1,3.8
SQRDL_3,ARPC3_1,3.8
CH25H_3,SHFM1_1,3.8
ST8SIA1_3,TCOF1_1,3.8
ST8SIA1_3,SNRPB_1,3.8
ST8SIA1_3,EIF1AX_1,3.8
ST8SIA1_3,P2RX5_1,3.8
CYP7B1_3,COX5A_1,3.8
ST8SIA1_3,GEMIN7_1,3.8
SQRDL_3,UBE2M_1,3.8
SQRDL_3,PARP2_1,3.7
ST8SIA1_3,UQCRB_1,3.7
CH25H_3,RNF7_1,3.7
CYP7B1_3,EIF2S3_1,3.7
CYP7B1_3,ARPC1A_1,3.7
ST8SIA1_3,TAF10_1,3.7
ST8SIA1_3,HNRNPA3_1,3.6
CH25H_3,HNRNPK_1,3.6
KCNN3_3,ETF1_1,3.6
ST8SIA1_3,WARS_1,3.6
KCNN3_3,EIF1_1,3.6
CYP7B1_3,EPN1_1,3.6
CH25H_3,CWC15_1,3.6
KCNN3_3,THOC7_1,3.5
CH25H_3,COX4I1_1,3.5
CYP7B1_3,FUCA2_1,3.5
CYP7B1_3,UQCRC1_1,3.5
CH25H_3,UBE2L3_1,3.5
ST8SIA1_3,HIBADH_1,3.5
CYP7B1_3,NPRL2_1,3.5
CYP7B1_3,EIF3C_1,3.5
ST8SIA1_3,DKC1_1,3.4
CH25H_3,DNASE2_1,3.4
ST8SIA1_3,EHD1_1,3.4
CH25H_3,PEX13_1,3.4
ST8SIA1_3,SDHB_1,3.3
CH25H_3,NAPA_1,3.3
ST8SIA1_3,PRDX5_1,3.2
ST8SIA1_3,COX7A2L_1,3.2
CYP7B1_3,HSPD1_1,3.2
CYP7B1_3,CHMP4B_1,3.2
ST8SIA1_3,NOP10_1,3.2
ST8SIA1_3,AP1S1_1,3.2
SQRDL_3,ATP5O_1,3.1
CYP7B1_3,EMG1_1,3.1
ST8SIA1_3,RNASEH2C_1,3.1
CYP7B1_3,UQCRH_1,3
ST8SIA1_3,ATP5H_1,3
ST8SIA1_3,PRDX1_1,3
CH25H_3,UQCRC2_1,2.9
ST8SIA1_3,ATG3_1,2.9
CH25H_3,GEMIN7_1,2.9
CYP7B1_3,CNOT3_1,2.9
CYP7B1_3,KARS_1,2.8
CYP7B1_3,COX4I1_1,2.8
ST8SIA1_3,SOD1_1,2.8
CH25H_3,YWHAE_1,2.8
ST8SIA1_3,CWC15_1,2.8
ST8SIA1_3,SNRPD1_1,2.7
CH25H_3,U2AF1_1,2.7
ST8SIA1_3,DNASE2_1,2.7
CYP7B1_3,EIF6_1,2.7
CH25H_3,RNASEH2C_1,2.7
CYP7B1_3,WIPI2_1,2.7
CH25H_3,ARHGDIA_1,2.7
ST8SIA1_3,GPI_1,2.7
CYP7B1_3,SF3B5_1,2.7
CH25H_3,P2RX5_1,2.6
ST8SIA1_3,HNRNPK_1,2.5
ST8SIA1_3,COX6B1_1,2.5
ST8SIA1_3,TXNL4A_1,2.5
CH25H_3,TUBA1B_1,2.5
CH25H_3,SF3B5_1,2.5
CH25H_3,ATP5A1_1,2.4
ST8SIA1_3,TAF9_1,2.4
CYP7B1_3,RIOK2_1,2.4
ST8SIA1_3,HSD17B10_1,2.4
CH25H_3,GARS_1,2.4
CYP7B1_3,FIS1_1,2.4
CH25H_3,WIPI2_1,2.4
CH25H_3,CD63_1,2.4
CYP7B1_3,ATP5E_1,2.3
CH25H_3,UBA1_1,2.3
CYP7B1_3,ARPC5L_1,2.2
SQRDL_3,SF3B2_1,2.2
ST8SIA1_3,FUNDC1_1,2.2
SQRDL_3,ATP5J_1,2.1
CYP7B1_3,NAPA_1,2.1
